mouse6c	mouse6d	mouse1k
168.1589	35.6092	161.898
123.7034	33.1003	138.0144
160.2505	46.6814	109.9452
122.5005	34.3963	94.956
125.3953	43.5504	137.6847
142.6746	42.4234	92.5932
130.253	34.7011	116.1009
144.4289	33.2273	88.5259
151.0128	44.4753	113.7785
155.3837	44.084	94.5771
112.5105	42.0069	103.9639
111.6794	33.5981	95.8419
108.4387	44.2529	97.2772
119.9854	39.2129	100.9878
151.8747	43.3284	94.1114
135.7925	37.4348	112.8309
139.9052	44.8731	118.1232
126.1788	44.0215	97.3955
150.1986	37.2404	102.3138
110.9013	57.1879	96.6673
121.9757	44.5552	89.1664
161.3231	40.4722	114.0153
115.0755	47.8809	135.8846
121.4301	48.6732	99.4249
129.8619	45.9942	106.0778
123.7696	40.3422	113.817
146.0179	46.474	98.0995
112.5729	57.1871	96.1935
124.3459	40.9176	91.3953
149.7509	46.6898	95.3065
137.5161	45.2664	97.0349
117.1829	40.1593	97.4049
122.8702	51.466	90.6456
119.6061	43.7771	97.1003
118.9297	49.9629	87.575
119.7056	39.1171	107.9298
108.5266	38.1986	92.4532
121.0169	44.3651	90.8459
126.8836	33.6696	96.7869
124.3642	43.5373	123.8669
116.9341	34.6247	81.9572
123.5221	45.6433	102.8845
125.8488	41.3059	85.3069
103.2513	38.5576	100.7112
126.8616	38.0718	99.7747
124.5385	38.6542	97.8975
111.7312	35.7747	141.5669
123.4903	36.7244	96.3656
152.5522	25.3883	80.1046
110.4385	41.2013	88.7563
117.3997	47.4355	84.1848
126.5975	33.8432	75.4931
127.144	32.1252	109.5917
122.8737	35.1608	94.8736
140.3965	33.7399	96.4458
120.0295	45.7703	127.2323
165.0634	42.8334	98.6562
117.4818	29.041	94.5506
117.7198	30.4833	86.3513
149.7934	32.124	99.2802
142.4402	42.8661	92.5402
135.538	32.2807	97.2805
128.3865	37.5492	98.7495
126.0532	36.7133	84.7843
172.2555	29.9256	83.2639
122.9836	34.7153	111.5738
150.7238	32.7887	99.7842
123.2289	44.4389	102.7082
123.3303	26.5592	87.8141
129.7252	38.4403	84.5638
146.7025	42.9018	82.5107
150.2798	36.9081	97.4487
128.2235	32.6986	85.0603
113.8955	23.1917	114.1069
130.592	29.1594	95.947
120.6756	32.9758	85.3989
108.7063	30.0684	86.4547
114.8674	48.7614	87.6148
136.4948	34.2632	105.9026
184.8398	44.1264	87.841
120.2405	41.9678	82.7528
120.7092	32.3178	81.4133
131.0076	22.4209	126.6331
129.7498	32.3208	89.3507
148.308	39.0669	91.1669
119.2748	40.9933	78.3592
163.9332	26.957	90.1985
113.9524	32.2827	111.454
122.3541	34.5254	118.9359
109.7007	40.2552	129.8197
156.1676	40.5213	105.0038
161.5507	27.3541	106.3952
116.2056	35.069	121.1118
167.5652	27.6675	132.0423
122.2925	23.3696	94.7467
156.1162	27.7358	129.224
124.7833	32.2928	127.1539
