e1	mouse0	mouse7	mouse6
1341.082126	3367.965464	1730.567316	2501.400813
1690.363162	2312.716127	2028.912363	1648.568182
1701.513802	2899.040411	1582.676444	786.4296892
2480.330257	3050.860633	1538.02682	931.1293984
2514.48772	2823.317647	774.0627857	707.8538103
1073.836101	2586.093641	2123.147881	3878.574591
1980.378657	2699.200799	1097.46696	1368.23571
5618.608597	2647.53861	1581.245887	3218.641304
1277.165183	3565.208462	2436.072623	2663.870095
1420.336991	2843.505338	1664.965343	3509.030418
2981.439649	3521.463775	2032.769186	3044.95098
555.7631359	2706.420727	2208.557892	5147.296651
500.0868244	3715.678084	1083.327662	3527.866667
769.0312902	1188.325893	3451.008	3782.912844
899.6425735	2351.737062	2627.148165	2373.498965
976.6197833	1852.759085	2209.105236	1972.825865
587.171381	1384.572449	2444.909126	1137.336186
624.8750815	1442.928325	1218.997229	1505.276325
585.1827957	1093.185712	820.2324439	2459.38483
318.4882747	3027.020529	1165.7618	3019.047619
614.4922426	2254.697466	1825.958779	1306.844516
349.1828202	885.4019509	1034.045662	4149.856276
593.0472309	2595.700896	1553.056235	2119.593346
424.6198407	2646.830065	1624.49071	748.1750311
450.6342684	5677.064414	2658.022754	768.3658171
371.6879187	3546.689478	2680.166031	2093.650379
700.0621214	5646.405413	2524.6337	1983.347398
1928.332884	6089.988645	3376.885435	2173.40472
751.6117479	4942.765685	980.8477237	1757.949173
502.2970562	2863.186583	2249.351105	2076.533333
603.515625	1562.420551	1068.44324	1919.860627
322.0071415	3077.774616	4641.260841	2445.961467
268.6889674	1889.611207	4168.089316	6952.43129
508.254469	5107.050441	926.5310839	3766.182205
1794.620612	2954.154519	935.8510414	4524.764409
370.2290076	3271.49938	677.4355541	2291.852956
520.3570963	2643.225191	2176.946632	5455.608768
1098.583517	2222.733548	1794.654928	7066.515642
449.2799609	1219.747358	3146.170839	3457.864476
1107.452725	1381.047892	3403.07971	2609.905495
1116.313163	4121.613721	1129.952941	2242.324561
1779.425604	5014.251554	703.1907514	1577.581358
391.3454271	3004.969291	1116.77654	1431.40625
574.9935683	1163.892807	801.7617866	2843.243243
2131.94942	961.9948685	2997.831835	2209.286262
5125.238745	4298.655785	2899.314129	2068.883284
2478.681931	508.7044081	1499.913644	1536.136579
1390.857821	1497.246434	1302.280213	1430.725984
1578.033473	1722.970195	1278.805823	1935.703876
1299.256506	594.9317739	2186.608159	2030.429498
769.7524988	2573.335765	2455.675287	5416.842105
2948.983497	1550.291988	2542.044335	5263.67401
1980.177032	667.0983319	2430.087789	1513.71485
1132.413793	1171.796191	3985.354142	2560.077964
4285.645409	5106.626506	2229.747019	1805.135484
4912.057904	1623.859775	2014.784506	1268.179372
2586.862967	778.3274221	2739.590886	775.2699555
442.8509027	1432.153752	2116.588419	852.688172
2656.339166	778.513146	1881.191136	5453.836634
712.2228381	3682.538985	2621.428571	1669.592326
800.2009646	3938.508171	3799.355556	1675.904589
967.0799161	3636.732974	954.385089	3457.945261
2028.521192	4005.313869	2832.819838	965.0936186
3232.804995	4492.512821	3545.26749	758.7719298
3580.921206	2438.573913	1734.858981	1700.770755
3786.683057	4994.475011	1224.830076	1954.496973
2841.982434	4398.818032	2423.579767	1607.312466
1780.099764	4242.652959	1886.783547	2741.399417
