mouse1c	mouse1i	mouse1j
33.7296	89.2137	41.1366
9.701	4.7759	32.1004
33.7961	116.1298	27.8164
34.8843	33.8122	65.0733
46.9184	22.0523	30.5467
32.7289	62.5111	25.0375
33.2985	30.416	52.0317
36.8914	55.5771	12.2126
37.0048	91.6632	25.3804
45.5836	31.8615	23.6383
18.9325	111.0341	47.4992
27.4455	51.9507	46.0879
23.8362	77.1955	54.621
42.5502	95.6791	28.0826
23.9274	35.3117	29.7096
18.2748	60.6486	24.8608
41.4036	24.5125	53.1581
27.7584	118.8129	33.8365
44.5549	27.7224	26.5686
30.6998	79.4883	18.5428
25.3344	47.619	47.33
64.106	53.9451	32.8398
29.5359	90.5895	28.9563
22.3117	55.7562	68.6539
30.7424	138.53	39.6329
27.674	107.4403	17.2403
23.3973	39.2295	36.4746
37.4191	54.5969	63.7524
27.7142	83.1427	38.4164
24.1781	62.3781	40.4706
22.6002	121.6727	38.338
22.6193	56.709	38.1674
33.3909	44.3461	42.6188
48.7735	88.9874	28.8081
19.5404	45.4414	31.908
28.1909	50.4558	35.9864
31.004	31.2609	25.1161
27.2609	83.8899	32.7781
25.2942	33.7806	23.4061
27.7228	79.2836	28.6613
19.0235	66.5135	32.094
24.8182	66.1858	47.8777
37.4093	72.5707	20.0367
13.7801	118.9401	23.6389
19.009	43.8683	48.1054
21.1011	95.489	42.4783
20.2369	27.1127	67.0916
22.3805	36.7783	25.6036
25.4863	100.9861	48.449
24.7949	65.1182	60.7743
21.0225	95.9602	24.2468
18.1621	50.2553	48.0543
24.1048	23.364	59.4252
25.076	65.7938	35.3039
32.6847	70.6222	30.3862
16.7239	66.1733	53.0778
45.0848	69.5798	47.4027
15.5678	47.8923	47.6002
14.0849	45.2859	20.8506
22.5946	91.7738	17.4276
21.8129	105.8412	31.2001
23.1369	57.4185	22.2198
42.1988	77.3449	28.5085
23.0425	65.5441	62.3758
17.0584	68.677	71.8928
35.0385	67.3528	54.2648
29.1832	64.6016	17.2554
29.1277	63.146	43.2842
23.2699	66.4276	47.4269
25.53	47.7937	54.3518
17.8153	33.064	50.5455
24.1146	37.0312	76.9503
30.762	59.7073	76.256
18.6467	27.1057	55.1577
35.9151	152.1161	36.6339
44.8323	68.6061	34.6609
27.6147	122.7457	19.3097
8.36	64.4145	41.5959
28.2689	87.7654	40.2815
20.7859	105.2107	20.1512
18.639	93.036	42.2757
31.1799	72.7992	13.8523
18.8251	39.9344	16.4655
35.8914	97.2189	54.8519
24.0136	19.3897	60.4104
25.0499	49.7004	51.4847
31.3355	66.0928	26.5577
18.1013	54.8147	30.3393
17.4465	22.3603	51.9221
