mouse1c	mouse1i	mouse1j
32.6216	43.6208	15.4019
24.9697	55.2524	26.7832
29.6867	29.6516	14.458
20.2489	30.2239	31.5697
27.3219	34.9393	30.3771
26.8253	23.5728	15.3013
26.6925	38.9607	31.2145
29.6355	58.6701	21.6023
30.3135	28.1304	34.327
33.6811	31.8365	25.915
28.9511	33.2706	21.7545
36.5824	38.6089	41.4708
34.8566	44.6091	18.499
29.1173	27.1944	27.8082
35.268	33.7202	17.9282
36.8217	37.1737	46.8625
24.8993	36.57	16.7509
35.6266	29.095	18.7436
18.2171	31.6079	29.8391
38.3264	42.8124	17.3465
30.9193	42.751	23.129
26.5884	44.086	19.794
28.4497	23.7075	13.3315
30.4331	36.6828	15.3073
35.3989	55.8962	15.9318
33.3254	32.0024	16.6176
19.0657	30.0031	13.0598
19.8117	34.6619	26.822
26.8399	28.8222	13.2788
18.0858	56.0113	22.7874
28.2094	77.3604	26.9307
28.5986	39.5472	22.7329
21.5094	32.1761	20.1707
32.2482	54.6127	34.9776
30.1451	29.4677	22.0499
28.1876	41.9828	20.2654
24.8862	61.7452	28.9332
22.9848	48.3154	27.9628
35.6241	29.5894	25.1884
23.9243	22.6333	19.0188
28.8852	35.4486	26.3589
30.5886	45.8472	23.96
31.9517	33.6398	30.299
14.4147	52.7471	28.5834
33.2654	28.0022	33.9081
38.3863	34.4838	22.9734
30.5378	34.2944	26.09
24.2561	56.3863	11.2063
18.3186	31.8909	26.5719
37.1976	41.4219	19.2181
18.0355	18.5847	31.4255
19.5721	37.306	23.5691
36.6169	39.2832	24.1288
34.7786	59.0993	18.5898
37.5954	55.3434	21.5397
17.7938	54.1224	15.2307
42.0333	25.5542	20.1003
27.3548	70.9891	17.2086
50.2209	37.1093	25.9634
44.6374	29.6345	23.3905
44.7513	44.6223	17.3373
45.3317	21.3175	12.9195
24.5536	26.0123	18.9282
28.4155	14.6008	25.8407
23.1547	38.9395	23.6584
17.7254	41.7787	22.8086
31.9228	22.8047	36.2623
24.8042	45.7571	31.2323
19.2747	28.0523	28.9953
44.8948	28.0134	11.1296
25.6768	20.5426	24.1092
28.595	17.7694	24.7473
15.4415	32.0383	19.778
22.7128	35.4372	26.535
31.0241	41.8549	27.6519
34.1887	41.5655	15.255
33.9053	40.7193	20.5248
24.0187	40.819	22.2363
33.4335	40.6776	16.9739
34.695	34.8469	17.8639
41.7376	22.1041	28.3348
32.9424	40.2024	20.7281
24.5606	22.7317	18.3689
18.2037	42.4173	16.2765
23.5432	23.2302	18.4778
23.366	38.2952	19.8714
33.8566	31.2117	24.0788
34.1894	32.5808	18.5794
31.0651	19.0615	32.624
27.4495	33.6041	26.1484
28.1463	36.946	17.8401
27.0583	14.2078	19.1968
43.5872	48.8275	19.1085
30.573	35.0795	21.4547
38.5766	24.4326	22.0818
34.6039	20.2386	23.108
27.1017	19.6104	21.4694
38.5866	33.3205	24.6935
31.6612	28.5303	22.0348
46.0493	22.5871	20.1335
38.6154	59.7428	16.0386
59.1426	18.4826	25.8252
35.0995	42	20.7511
41.9925	20.475	18.2015
61.9618	19.896	18.5707
30.2501	36.9073	4.7996
53.8231	26.1284	37.0724
51.9929	38.4289	14.5713
33.3246	20.7995	37.9713
67.4852	18.3829	30.3627
35.6927	36.2513	31.5533
52.8588	29.9183	31.8235
33.4786	34.9715	25.6775
26.3059	30.9411	18.8199
25.4267	26.8108	40.9069
31.7991	33.2846	19.0011
29.0007	24.3194	36.1399
32.2939	34.1325	17.6642
29.3845	47.8296	30.6303
34.3912	42.8624	16.6351
42.5297	21.4625	26.9925
29.2529	26.3378	14.9608
37.016	32.5486	21.4176
33.6506	29.5224	31.2127
45.1992	36.8965	22.1379
35.4421	64.8807	30.545
44.1006	17.045	20.765
35.2197	25.3511	12.2182
37.7106	30.8984	11.1366
41.7283	38.7614	12.7903
58.7217	35.8218	18.1828
37.4742	44.5122	20.3811
24.7543	21.2976	17.7178
58.2384	25.5261	16.3359
48.1813	62.0014	22.5471
22.7809	39.5782	15.0981
24.7955	42.7686	24.3953
35.6076	31.7788	32.8316
36.4861	47.589	11.3825
44.1028	28.0434	33.4528
35.3202	48.6708	29.7443
30.163	33.2545	27.6145
34.7934	32.3318	31.6147
31.8651	29.111	51.2204
12.8205	24.8076	40.9057
47.9046	40.9026	32.1157
24.6005	39.2862	24.6493
28.4976	23.538	17.6425
