mouse0	mouse1	mouse90	mouse2
1097.329888	445.6152594	1266.619174	1724.010079
1010.427807	693.1919643	1387.42378	1365.103127
1170.107108	431.3686131	1644.034954	1443.636984
1352.165156	367.1497585	1447.816222	1496.494845
1361.193527	382.6938343	1376.043956	1254.285714
1765.22763	878.2252316	1010.661358	1273.480023
1498.162127	430.5750617	1222.866978	1408.514428
2173.306183	623.6254651	1135.963214	2256.680766
1267.736088	401.3538749	1212.601881	2108.241291
1101.37839	719.4065934	1539.950871	1646.694698
1766.961131	390.508554	774.8671783	2196.599084
772.0006565	469.2142474	721.8637313	1732.49821
973.3006042	415.1089878	951.3669502	2032.200264
749.2236338	430.5755396	1939.925693	2468.365461
1084.857143	599.368764	832.0089536	1837.325409
457.7733422	399.4872938	577.0819454	1277.81235
765.2788104	459.4850619	356.6531932	2118.878505
780.1135169	442.3697556	693.7150838	1575.027933
1605.29595	409.235733	325.8064516	1610.164569
965.141319	347.4875509	1059.113696	1555.929352
854.3336673	677.1802618	457.8911253	1573.626817
922.7540107	638.5057471	636.1253055	1963.244245
649.8080088	657.7809121	1098.568762	2319.757366
1997.487025	265.1973684	1285.682526	1203.561828
982.2397948	447.144815	1315.377246	1363.661559
609.4170404	665.3283875	1540.854701	1812.347007
616.6075051	494.6761313	867.3076923	2989.030023
559.9470037	534.9206349	1074.535637	2830.675676
1212.932662	452.0922289	1842.424809	2870.241199
988.2704967	868.6348684	1520.531243	1359.779124
1058.747648	588.9791183	2119.006479	1304.456584
504.3442112	493.3740192	2018.515982	972.311622
908.3451873	767.8312282	1829.037611	946.2214411
1117.615359	696.6976264	2388.824214	1507.676676
752.532391	425.2818035	2424.287119	1767.931969
805.205124	713.4690342	2861.149497	2512.864009
1326.620926	935.1800554	777.2727273	666.4663462
1146.223565	640.0681499	1332.726076	810.0626014
945.4639889	415.1515152	2395.656394	897.3972198
708.7584216	512.9399848	710.8551069	865.8678756
954.8216976	456.0103834	872.7234578	2341.466539
969.5740365	548.4504449	1199.533582	833.8165774
598.8218322	438.7637363	1243.440983	1547.615283
843.5270936	565.2315485	1577.920082	1442.961992
896.4850048	401.9216182	1243.888071	1050.054795
751.2542645	762.3335944	1595.787339	1875.046407
732.6355453	831.0805577	1939.178515	2407.647776
731.2300516	1002.147838	2655.506141	1613.988868
1502.722063	901.5622457	2816.929963	973.5714286

