mouse6e	mouse6g	mouse1a
108.5576	5.1738	10.1489
73.4875	10.7169	7.8089
56.5302	8.0232	15.4593
15.2166	8.1956	9.1706
54.0525	6.6831	12.931
88.6599	6.2443	19.2235
67.1759	10.2599	11.9024
35.9587	9.7513	13.166
123.5025	8.9585	18.1172
38.7396	7.5429	14.1673
16.8418	9.4664	13.481
75.0361	7.884	7.1858
34.7991	8.8211	10.5673
31.4808	6.5728	11.0323
55.3867	7.04	8.5775
55.5273	9.9826	11.9592
34.3331	8.5032	10.5383
60.3327	6.4377	8.8607
29.6882	8.0416	9.8708
28.2225	8.1025	8.6794
64.5878	6.9899	15.0854
45.3738	8.3211	29.2321
56.7817	7.6494	9.6864
32.4864	5.2601	10.6004
58.6526	6.8553	10.2704
62.4811	9.1545	9.245
37.9518	7.995	11.5499
64.4278	9.4886	9.7514
37.4112	11.1624	15.2163
37.2058	8.076	17.7316
32.6812	8.4792	14.8766
66.292	7.8119	18.4585
39.3263	9.3878	18.3368
31.9849	7.4072	11.7606
36.6929	5.5822	16.8342
69.0722	8.8254	10.1837
76.8806	8.4953	12.5114
37.8704	8.6266	10.96
55.1696	10.6435	13.0927
37.0226	9.5749	12.7939
15.2245	10.2503	9.0513
44.0762	7.7393	8.6169
24.8942	7.5112	6.996
56.5836	8.6598	10.6363
81.9134	11.1778	8.1221
68.025	6.5483	7.5518
31.5238	9.6239	9.7179
34.6318	10.687	6.3183
55.6764	8.1036	8.8977
50.7063	9.2484	22.9216
61.4089	7.6141	8.9366
39.168	7.0336	8.161
28.563	8.0545	7.4408
59.6181	9.863	11.1289
57.2292	9.1628	7.7431
56.4477	7.524	7.2311
58.1122	7.1683	8.1293
49.4708	8.575	6.396
53.9666	8.112	8.163
63.9467	7.5832	10.1838
73.3606	7.922	12.9357
76.1602	8.4134	14.7896
60.8652	7.1411	12.1932
32.7873	7.1264	13.6571
27.5197	7.9297	14.0911
59.4731	6.7514	15.9011
75.0607	9.1579	16.7141
93.166	10.3158	17.8993
58.776	5.8109	16.6985
51.0037	9.7656	23.042
54.9857	10.6161	14.7377
45.2402	6.6591	20.0779
31.8242	6.8805	17.3096
88.1017	8.4862	14.601
95.128	7.5993	16.1383
46.6756	7.8675	15.7032
50.3263	7.3352	53.256
63.9423	7.8506	13.4186
73.0263	7.408	14.9252
50.5373	9.2917	15.0251
53.4186	7.395	11.9638
49.9795	8.0345	15.9692
36.3377	6.5769	13.5249
56.9486	7.0188	7.3961
35.1166	7.3474	10.4445
52.9834	6.6029	7.8503
42.6039	8.4635	6.5819
31.7666	9.6584	10.2108
75.9217	7.6291	6.8247
47.542	7.7768	6.4366
73.4589	8.8836	7.8321
53.6687	7.7267	10.2845
55.8998	9.136	6.8858
