mouse7	mouse8	mouse9	mouse0
1814.50665	1377.655409	1300.616219	3820.053209
1773.833839	1197.246828	1278.699679	3867.180805
2227.396254	2460.44686	3032.226119	1942.321924
2145.355045	1093.214352	3094.282238	3488.020977
1786.535304	1353.779924	5449.432918	1643.158313
1114.842481	2154.633401	5001.452839	1093.326134
2384.012066	2529.351628	3931.229365	1486.544075
747.989418	2483.138523	1326.834585	2194.648539
740.0157233	1525.35312	2178.817915	2807.234158
2641.604604	2746.517518	1016.191031	3413.424763
1826.741023	3665.499351	1209.465262	5699.147502
2159.640584	3240.606061	1115.645342	2942.073058
741.7754569	3413.067863	897.0898981	1620.733104
1861.181864	3386.610132	774.7474747	1634.265869
739.8548847	1600.396077	1167.966784	1719.221168
2267.800139	3822.648752	5032.545337	675.0078939
2453.780965	1592.640509	1400.788709	3843.567067
803.9708802	2812.133072	3525.987994	3953.293957
593.4299743	1354.748603	1008.290638	4154.921387
1345.237554	3220.753756	1066.05286	1014.953917
836.2613654	2844.275345	1781.787859	1900.780162
641.2898936	3580.15555	2091.413238	1837.50314
779.167846	4393.80635	3546.231473	3086.344044
712.7860027	2917.564259	2637.945425	1839.547304
1097.945659	3067.863744	3931.885074	1762.866894
620.3473945	3201.115982	1897.992701	4060.393637
903.6401925	1638.533541	1838.052183	4456.743472
2855.901794	3108.346386	1564.73342	3300.900901
3143.248109	3467.027216	3052.041085	2641.431486
2111.207646	2699.811043	1003.667241	3188.010408
936.504065	1266.728885	1684.3697	3600.917
1771.389043	1696.39153	2302.967284	3738.879528
1302.980309	2884.691279	1571.769978	4512.753774
1300.114253	2428.743638	4940.558336	4095.2565
1100	2273.816657	1249.149707	3985.298197
1340.027076	1949.259147	3061.118051	4381.094527
4780.802226	2416.041848	1821.972956	2264.572193
1151.683203	1375.032612	1220.247435	2727.633209
2506.435224	1846.962025	3388.190476	3307.779226
1375.810085	1696.610169	3001.087942	3323.5045
633.6	682.4887749	911.1560045	673.1829216
2424.785346	724.8220641	1306.700721	889.6963314
2464.456671	1313.873275	982.6432749	764.2149088
2023.022064	3930.214592	1119.037995	923.5149125
1295.800753	768.190709	1397.984072	1405.432099
2183.28125	2879.961931	1143.874346	6112.08959
868.9251263	3114.340871	4155.969657	2395.443165
695.2442159	2100.657331	1377.265973	2353.85421
626.8288222	1623.748151	1886.022167	3188.180039
1181.915618	1436.60304	3632.625671	2093.128964
2682.557443	1438.447103	1257.608696	3610.525415
2256.171943	4191.770186	1171.139873	3883.079922
780.5227851	2448.014122	867.0467951	3067.214748
906.4707335	4390.613718	1085.424625	2525.244545
782.5501771	4881.389945	1479.263804	2573.008435
1334.216275	3473.580939	1379.815518	1393.470186
941.8524416	2068.997669	2164.337654	1974.742703
1664.430307	5117.678471	1652.832746	2375.049171
862.2962273	2900.50958	1792.930591	2519.183673
1258.540403	3314.036192	2790.90084	2138.702202
563.2400589	2694.967381	3279.023465	1779.468452
854.9299883	2392.407681	2722.349365	2030.173841
2089.275297	2144.751204	3188.32264	2702.23301
1537.833468	2593.217807	1559.560842	2333.797909
1199.930556	2266.319366	2750.774888	3272.627555
1444.127764	3253.668763	1663.284905	1497.940874
2037.477616	1930.58097	2965.31445	1069.774635
862.3634775	2432.45283	1845.085381	1038.672114
1864.556343	2308.037019	1914.914773	1061.922246
1800.187227	587.9292929	2325.143202	2043.430264
1385.688836	1214.713896	634.4222834	2838.175676
490.6924961	713.0056546	1739.300798	1778.582146
922.9192547	2809.914842	3411.484409	2168.459459
1070.037718	2139.637649	2480.50472	1316.889272
1251.880046	2092.28265	2032.288158	3901.409978
1398.539023	1078.646035	1823.490427	4079.841083
1546.139064	2360.031389	2107.761998	1716.426031
1176.494704	1050.657079	2746.162737	1560.46599
2266.446281	3795.528017	3004.033688	2128.173608
1015.798988	3208.186506	2132.001073	1132.839506
971.5411356	2279.984894	2770.055006	2408.479797
1060.477273	1426.386928	1397.187738	3444.450969
657.8713147	2192.207792	3380.702555	1847.140619
282.6345083	1901.842105	1916.585024	1236.527088
884.1160509	2318.645521	1823.421316	1038.384423
238.0687667	2986.960557	1339.868952	3546.979965
720.7967033	2958.298285	2760.936734	1694.933921
556.2512306	3138.514892	1552.021953	3177.630522
1194.491751	2328.334609	2649.515817	3808.021489
1091.26767	1912.279597	1225.420112	3653.73246
1412.000934	1479.46778	2426.791444	2137.970896
956.4489507	1269.729056	2036.741855	4538.931298
1030.318665	1920.037048	1284.270183	4184.453379
834.9394839	1810.359216	2080.264222	4055.919682
1266.666667	1097.531788	2179.059829	7560.399449
1030.074306	743.9886537	2023.397873	1878.301887
1529.986245	1018.143664	2006.980423	2662.400336
477.4991964	1739.707125	1525.792652	1551.81841
934.6585366	2694.41726	2239.077307	4669.173789
697.6993865	638.0356814	1741.576141	4217.574591
648.2285208	929.4949935	2011.643994	4291.668135
788.3473638	1613.099183	3044.407638	950.7094595
876.5600537	1706.089805	1406.512537	3692.569787
593.8663746	951.2750161	1761.627369	5861.693862
