mouse6e	mouse6g	mouse1a
4.5441	3.1691	6.388
4.0313	2.5318	11.5332
2.6593	4.1639	12.9272
3.1908	3.2103	10.0557
4.5957	2.4344	5.1
5.5188	2.9484	4.9353
3.6149	2.9568	1.653
6.172	3.4977	6.7213
4.6002	2.6127	3.8015
2.3544	5.4359	8.8288
4.8054	3.3253	9.9366
3.0944	1.5022	4.9551
5.253	2.7782	3.615
3.3836	7.6342	4.3144
1.9993	2.9582	6.6978
1.7948	3.5251	5.0949
2.959	2.7709	3.9688
3.502	6.0341	10.5476
6.9016	4.1783	6.7038
5.0751	4.8201	8.6461
2.7871	2.3775	10.1048
9.1647	3.1632	7.591
7.0791	2.3474	4.5206
3.2775	3.2556	3.5766
7.326	4.8174	4.7555
7.8912	8.2922	8.3693
5.6948	2.068	5.8122
3.0579	1.4469	10.1161
4.2078	4.4713	6.3871
4.0738	5.0998	4.2759
5.295	4.222	5.5863
6.0884	2.6198	6.5669
8.051	2.4533	10.5198
5.6813	4.6409	11.885
4.6056	3.529	14.1845
5.1215	6.8847	4.4457
6.2125	2.1139	10.9838
8.8149	5.6038	8.4499
4.6178	2.2277	13.4057
11.567	3.0788	8.4576
11.5214	3.5586	6.0206
4.448	7.4629	5.4638
4.8857	2.9193	6.7162
3.6855	4.9464	4.754
2.3983	8.8593	5.6855
4.2291	7.6371	6.6369
4.7297	5.8405	6.5357
9.3016	4.5665	7.4457
3.0012	7.601	10.6762
2.9925	7.1907	1.6804
5.0917	6.9854	4.1115
5.9165	6.6935	3.6155
2.6383	5.1857	7.2241
2.2643	6.3129	4.144
7.7065	4.5783	3.4866
1.3404	5.6121	7.1485
3.66	4.8302	12.0211
9.43	3.2535	9.7716
4.1356	1.8842	7.6317
6.217	4.508	2.6233
5.8817	2.0367	3.6909
6.5192	8.7574	3.176
4.9326	4.3437	4.1475
3.0477	3.6653	3.8962
4.6079	2.4677	3.4331
2.643	3.0574	3.1071
2.9285	5.1826	4.3776
2.5349	1.9252	7.719
2.2443	1.4978	2.8232
3.5864	3.3835	3.8869
7.2823	5.5629	2.3782
2.0724	1.9561	3.0947
3.7986	1.5103	4.0264
4.4791	3.8225	5.8918
2.2674	3.7372	4.7866
5.5916	5.869	7.9398
6.2059	9.2772	11.4236
3.5537	2.887	6.1671
2.2806	5.6994	6.3816
2.0085	5.3027	3.1374
3.3429	7.2914	8.0455
3.788	4.6345	8.6833
3.4711	6.3104	4.2291
2.8863	5.508	9.5374
2.5698	3.5542	4.4104
3.1327	3.2763	6.7823
5.1567	2.1902	6.5635
2.183	5.3603	7.3475
1.597	2.628	3.291
4.0255	1.6639	4.231
2.8562	3.7959	6.9753
4.172	2.44	8.4252
6.107	3.7272	4.2574
3.6541	2.9936	3.3013
2.537	3.7587	2.9511
6.1918	1.0015	3.1151
6.2247	2.8013	3.4776
5.5241	1.9119	3.8462
5.5778	2.2148	6.3293
6.7652	4.0497	3.8695
2.0141	1.5047	4.6983
2.5307	2.3866	3.1677
4.5818	3.2299	3.8455
7.1842	3.2315	3.986
5.1183	4.1065	3.4658
5.5624	2.7707	5.5009
4.2752	3.9906	5.1599
4.3492	0.7635	3.2401
3.1893	6.3615	4.2788
3.9054	7.5009	5.8963
1.9624	4.4718	4.8616
3.8756	4.5804	7.2416
2.7547	1.3061	7.9696
5.2069	2.3365	4.9414
6.6944	2.4173	7.0585
4.7066	3.8138	3.2185
4.0334	2.5885	3.1733
6.2479	1.7554	2.988
2.204	6.5657	4.1581
2.8803	2.8224	3.4969
3.4223	3.7584	2.6099
7.3232	1.9268	6.2829
3.7767	4.2308	4.5374
3.5239	5.3457	5.9926
4.117	4.5055	5.0362
1.9876	3.4088	8.9044
