mouse6e	mouse6g	mouse1a
42.1583	30.914	26.9409
43.4871	38.2021	32.0008
22.9291	27.2906	21.6521
35.4281	51.0064	28.7052
98.8417	28.3497	18.2341
45.5061	18.4181	28.0898
30.1329	33.9177	26.9165
86.3345	23.2755	29.888
53.7515	30.2248	30.6953
44.618	26.8116	20.8108
87.489	23.716	23.5634
39.7463	36.9171	22.1933
26.6218	43.556	25.58
81.9719	25.7284	38.5195
70.0618	38.4571	23.5953
55.3202	53.2942	17.7704
89.9025	38.3571	25.296
37.0926	23.5008	38.4935
46.6177	25.7116	29.8892
96.9713	26.6814	36.1749
116.69	4.5379	31.9136
45.0202	29.3036	21.4823
60.6527	18.9236	18.9598
26.9724	37.5393	36.8089
32.9704	19.3074	36.6054
17.4989	40.5195	18.0894
44.2328	19.4628	39.182
46.776	29.0311	26.8335
39.1747	33.0336	36.4558
42.7431	17.7783	42.2488
94.6284	38.6449	40.8592
50.6597	29.5192	15.6532
87.9744	50.8868	21.0783
34.6932	61.4165	25.9303
23.0193	18.2954	23.7944
38.3495	58.121	21.8749
118.1892	36.0188	22.4814
27.6781	46.2897	18.9577
45.6054	18.0897	32.4358
50.5808	28.1616	28.1687
72.6296	25.2368	43.7161
56.8758	25.8279	38.6895
53.3004	40.2944	26.0561
44.9863	29.9299	42.9007
48.8596	25.425	31.1636
16.6686	13.5719	62.2377
62.902	26.1613	24.5068
93.6732	36.0009	19.419
64.7475	22.7383	40.4218
46.1748	23.8518	24.9753
31.3229	26.9784	25.1476
74.1269	28.3439	20.3894
25.3468	21.9923	25.8493
46.8237	30.2693	22.1421
68.7854	26.562	30.7942
67.5674	20.7976	18.6731
36.4699	21.1361	25.9704
44.7279	46.1418	26.77
42.39	38.2551	35.1163
45.2767	63.2885	21.5782
28.3282	26.0586	28.7541
27.4475	21.8886	26.7221
96.7492	28.359	32.1295
23.8012	41.338	37.6108
20.2631	23.9883	39.7916
43.7368	13.6506	23.9927
52.2845	63.0347	60.0857
64.2068	46.4612	27.3448
39.3469	20.4922	34.181
52.2143	37.7151	29.7346
22.7833	30.494	31.0606
64.1462	23.3349	41.146
27.6813	38.2941	31.0977
23.3634	27.7126	31.2383
17.4895	45.9084	43.5857
23.8189	37.7376	31.4137
54.3273	46.7519	43.4341
37.5203	40.7696	35.2946
64.298	25.7894	34.6211
70.2642	44.4691	20.11
115.6266	29.4491	40.9962
29.1451	32.7575	35.4716
20.4024	45.4056	19.2192
45.061	13.465	35.2192
36.1718	27.8176	36.9238
87.0694	40.823	33.5417
28.1787	68.9908	21.8094
51.3577	68.9155	16.2105
36.7706	26.1575	37.1953
63.6814	18.6831	19.9324
56.8471	26.2725	35.7448
42.3761	56.2253	50.9976
60.3603	19.8057	19.7006
