mouse1d	mouse1e
0.4232	2.0832
0.7716	1.9846
1.0112	0.5951
0.4962	2.2501
2.543	0.798
1.3382	0.5285
0.4513	1.3286
0.4882	0.6401
2.5758	0.7223
0.3949	0.9529
0.7083	0.7976
1.0571	1.313
0.3177	0.4675
0.4376	0.06812
0.3965	0.2559
0.1785	0.2314
1.0955	0.1273
1.0955	0.3491
2.7717	0.0898
1.5849	2.3659
0.1134	0.184
0.5589	0.184
0.4222	0.725
0.5954	0.418
0.7372	1.0645
0.716	1.4404
0.4742	0.4741
0.4913	1.271
4.4761	1.4127
1.3312	3.2231
0.5904	0.5772
1.5371	1.5838
1.2228	0.8607
0.5555	0.8493
1.8873	1.6269
1.6335	1.5432
1.1578	1.5803
1.8649	1.4933
0.22	1.8103
0.1965	0.9032
0.3827	0.7307
0.7131	2.8887
0.1267	1.6439
0.4776	0.7251
0.3913	1.4598
0.2189	0.5884
0.7518	0.4815
0.9628	1.8127
1.6879	1.3976
0.8487	5.4521
2.6551	4.1941
1.4471	2.0158
0.7338	1.4886
3.1286	1.4453
0.05411	0.9719
0.04643	1.2568
0.7643	1.588
0.679	1.2919
0.3291	0.7158
1.3982	1.3182
0.2185	0.3752
1.5859	1.9899
0.4528	1.14
1.0524	1.8074
1.4666	3.5568
1.0925	0.237
0.5753	1.199
1.5117	1.8177
3.0643	3.17
0.9001	1.3065
0.7021	1.2222
0.8904	0.7492
0.6473	0.3423
3.3289	1.4259
0.8843	0.9576
1.0099	1.4085
2.3262	2.2007
0.8488	0.7755
1.158	1.1732
0.3637	0.3759
0.4416	2.2494
0.4418	1.2255
0.5743	1.0848
3.7443	0.661
1.5121	1.8864
1.1126	1.2987
0.3692	1.9062
3.4473	0.6044
0.8595	1.2386
1.2525	0.6119
0.7325	1.7152
1.9495	1.3985
0.4203	1.4328
1.4059	1.444
0.464	1.1085
0.8719	1.4041
0.575	0.8269
1.1997	1.5061
0.4596	1.5399
0.3498	0.8862
0.6339	0.6637
0.8606	1.6398
1.018	0.6261
2.0339	0.2639
0.5746	1.1497
1.7658	2.2248
0.8592	2.5297
0.7317	0.635
0.9004	1.5539
3.039	1.8706
0.05386	0.9314
0.4457	1.7928
1.0904	0.7289
1.1981	2.0271
1.1612	2.9144
0.944	1.1541
1.4208	0.5546
5.1389	0.6729
1.53	2.0746
0.5143	2.3139
1.4832	2.5617
3.1548	2.5203
0.4645	0.738
0.6628	1.4665
0.4949	1.9587
0.3981	4.4717
1.4131	2.8859
0.5219	0.7287
1.8964	0.6124
0.8346	0.4427
0.4494	1.3249
0.799	2.9882
1.086	2.7069
2.4135	1.6277
1.4331	0.8549
0.8513	1.3099
2.9121	0.3527
2.1513	5.3149
1.4827	1.3632
0.5662	0.6516
1.5372	3.9328
1.0526	0.8123
0.8042	1.9044
0.2512	0.1522
2.8514	1.2362
1.7525	2.2075
1.0998	1.3522
1.1419	1.4443
0.3335	1.6502
0.3886	2.802
1.9121	0.5604
0.518	3.1785
3.2726	0.6032
1.6525	1.3993
0.2731	1.954
3.056	0.2718
0.3688	0.3613
2.5816	4.9927
0.6061	1.8668
1.038	0.2113
1.3883	0.4413
0.554	2.1584
1.5249	1.0541
2.1906	0.7748
1.8641	1.8228
1.0763	2.2687
0.623	0.9005
1.3376	1.9114
1.7743	0.3994
2.7023	0.6038
0.2865	0.3045
0.2154	0.1869
1.3148	0.5781
1.4443	2.362
1.1371	0.1685
1.1878	1.6543
0.7077	0.6513
1.2034	1.2309
1.3989	0.8027
0.63	1.0226
3.8481	0.3206
2.9363	0.2156
0.8934	1.5549
0.8551	0.459
0.2138	6.3736
0.794	0.9705
2.1175	0.8012
0.9188	0.6809
2.6466	1.3726
0.5721	2.0696
0.7672	0.6317
2.8234	0.8652
0.8983	2.7715
2.4746	0.8235
1.6565	1.2484
0.4101	0.8682
0.6585	1.5561
1.0085	1.26
1.8381	0.7335
1.6193	0.6239
1.3028	4.5176
1.4797	1.1736
2.011	0.5645
0.3915	2.3812
1.4569	1.1413
1.9169	1.088
1.0118	1.6867
1.4009	4.0858
0.8766	0.4715
0.9723	1.8758
0.775	1.6275
1.2168	1.7467
0.6413	0.5998
0.9172	1.8256
1.3972	4.0274
3.1598	2.8439
