mouse1c	mouse1i	mouse1j
36.012	14.4725	4.7953
31.2635	14.1486	6.25
34.7057	13.8206	8.3522
36.2985	14.4492	6.9187
35.2347	14.2251	8.2825
38.4763	13.6383	6.4285
34.7482	14.3838	6.4194
38.663	13.2198	5.784
32.1339	13.7198	8.2503
34.2301	13.8173	6.3784
35.0718	14.4944	6.377
35.7584	15.1965	6.9797
33.6565	14.3977	7.3403
32.2443	14.3349	6.3651
35.1069	13.1926	6.8634
35.0957	14.1554	7.1872
35.2301	13.6479	7.3953
32.7729	14.2326	9.1459
35.0003	14.1848	7.1159
30.342	14.1588	6.6472
39.7307	14.2481	7.7823
34.1436	12.1261	7.4293
38.3351	13.981	6.942
33.3323	14.4117	5.3921
32.7746	14.0585	7.3189
34.6356	13.7952	7.5057
34.8949	13.7216	6.6782
36.6744	14.1627	8.7779
34.4458	13.6212	6.9987
34.5491	14.936	8.8864
34.4671	14.3669	6.0995
32.6029	13.7357	7.6874
35.4666	13.6684	7.0454
39.4382	14.6144	7.5086
37.6641	13.9422	7.0088
36.7177	13.4362	6.5415
30.3516	13.5194	7.3783
34.4865	13.877	8.1277
38.4757	14.7014	8.0575
31.5738	13.7846	7.192
30.0473	13.6381	7.1716
38.9012	13.5097	8.8726
34.5833	14.8346	6.5038
29.7763	13.7768	8.4696
30.4838	13.516	7.5463
34.04	14.3815	8.1861
33.905	14.9142	7.2863
36.0029	14.0756	7.6678
34.6652	14.1341	6.9338
37.1696	13.1292	8.772
33.3296	14.3665	7.7011
37.1059	14.6837	6.9766
33.2218	13.3204	8.0798
34.6911	13.9877	7.6601
35.4254	14.0627	8.2963
31.8609	14.8694	7.7785
34.2433	13.1782	7.0202
34.6276	13.87	7.4682
32.5693	14.6023	6.7703
33.8991	13.0254	8.474
31.6924	14.5745	7.6561
37.2433	14.2695	7.7653
33.7117	10.8694	6.9962
34.4965	14.7234	7.8403
35.7936	12.7208	7.8654
29.746	13.9949	7.5718
35.7006	13.6667	7.0446
33.8215	14.2016	6.712
34.6929	14.9045	6.2023
34.9883	14.2379	7.8546
33.9056	13.3354	7.9211
31.5593	15.3626	7.1811
32.8681	13.7002	6.6319
31.7712	13.9384	6.7376
38.9817	14.325	8.1732
32.6453	13.0174	7.2932
36.6451	13.8145	7.0656
35.0005	14.3333	7.0036
32.6095	14.4763	6.4891
36.4977	13.4137	9.1428
34.8386	13.2711	6.8966
33.9838	14.5526	7.3462
31.1277	14.2553	6.3092
28.6432	13.8369	7.367
37.6572	13.3373	7.527
33.8626	14.195	6.3935
36.234	14.3107	6.947
33.0602	14.0237	6.6267
36.1722	14.2557	9.929
33.9792	13.5261	8.6019
35.1517	13.8822	6.3836
31.8518	14.68	6.9058
31.7358	13.4107	6.6223
38.326	14.2952	7.4892
37.5377	13.5993	8.6181
37.0635	14.6969	8.0635
37.9215	13.7017	7.5343
35.4242	13.4974	7.0922
34.514	13.7208	7.2722
32.7328	13.1291	7.5867
38.2966	14.1378	7.8689
31.9888	13.3563	9.1183
32.7343	13.0383	8.4721
35.9514	13.6001	7.1401
33.7404	13.5243	6.0632
34.3665	13.8298	6.5065
36.1664	13.6249	6.1507
33.8604	12.6389	7.7772
39.5412	13.885	8.0226
36.7737	13.819	7.5629
36.7138	13.3156	7.4387
33.4621	17.4234	6.4063
38.8258	18.9744	8.0309
35.1697	16.464	7.5883
37.0668	17.3641	6.9113
31.4345	17.3926	6.341
37.4109	15.1863	6.0805
34.6798	19.8434	6.8927
35.3004	15.6705	5.5765
24.6675	19.8416	7.8194
24.9661	17.5222	6.5727
23.9798	17.5096	6.5567
25.7206	18.302	7.0983
20.9873	18.1521	6.9171
18.9419	16.3397	6.6289
22.904	19.5457	6.2386
21.9264	18.0649	4.5354
25.9314	15.8088	6.6232
19.5172	11.9219	6.9469
25.7984	15.5694	7.1549
22.5698	15.388	4.8234
19.1967	14.4365	7.0133
20.3755	16.4777	5.5087
23.6868	14.4278	7.2139
21.591	15.1617	5.8182
25.1985	17.6539	7.0193
20.2974	14.9217	7.6287
17.2054	13.1764	6.9622
23.2469	17.1017	6.648
25.0671	15.4115	7.135
25.1241	15.6239	6.4476
17.4001	16.0864	7.651
23.3645	13.6413	7.0967
25.5081	13.255	7.1509
23.0186	14.8922	8.3562
21.9188	17.9892	8.3011
22.8281	17.3944	8.1857
21.3368	14.7861	8.0862
16.5949	16.4494	6.5611
21.4456	19.6832	7.3847
19.2686	21.2264	6.4389
23.6349	19.5878	6.557
23.878	20.8928	7.7021
23.7687	20.0504	6.706
21.8824	20.6588	7.3101
22.0056	18.9158	6.1923
23.943	19.8236	7.1923
23.3569	20.5575	7.3068
25.8239	22.0161	6.5661
22.6305	20.0036	6.7762
22.4719	20.0369	6.7981
23.6646	19.46	8.1649
22.2814	18.5541	6.7195
25.0566	19.7799	6.4393
23.4353	19.7378	6.6748
23.7715	21.0918	7.4878
24.49	20.6137	6.3529
22.6402	21.6524	6.9108
23.8289	20.7982	6.5123
20.9689	19.1881	7.3531
21.2071	20.1053	7.4027
24.3503	21.6328	7.2482
25.6205	18.0377	5.0614
25.7701	19.63	5.8527
21.0918	22.0346	5.3427
21.7088	22.1837	4.7965
21.8723	19.381	7.189
21.0571	21.6186	5.6851
24.073	20.3747	6.1623
26.2795	21.2169	5.7535
19.6839	19.4931	5.4534
27.3793	22.481	5.9184
19.5299	21.4121	8.4513
26.1116	21.0441	6.4966
23.2454	21.6639	5.4991
25.3403	21.6583	5.646
21.4675	21.5777	6.0509
25.492	20.5224	5.6326
24.2267	22.1652	6.4255
24.0285	21.6399	6.4015
21.1281	21.5298	5.9415
23.3908	20.2994	4.9927
24.9975	19.9548	6.1503
22.509	20.8317	5.177
23.8541	20.185	5.3414
22.6503	20.8837	5.6194
24.5853	21.1446	6.2684
26.2103	21.0389	5.2382
25.3077	21.8015	6.062
24.1886	20.7632	4.9124
25.1443	20.1829	5.7096
25.8753	21.447	6.7637
22.9868	22.1	6.838
22.3849	20.8584	6.0644
24.1208	21.9222	5.31
27.0012	20.3235	5.9538
24.0346	20.6617	6.4823
26.5765	20.7855	6.5401
25.4595	23.452	5.4347
21.1989	21.6454	5.6824
22.3442	21.7393	6.1812
27.3199	21.1195	6.6398
21.3405	20.2651	6.457
22.1129	21.1185	5.6259
41.4424	22.1003	5.388
42.7282	20.7382	5.3503
44.1452	20.6435	7.4677
38.2986	20.4871	5.0704
39.9718	21.1077	5.1649
37.3641	21.2387	6.4586
40.5386	22.2283	5.3741
43.8541	21.1418	6.0543
40.8287	23.2806	5.7242
36.7239	21.1345	6.1486
38.6914	19.807	5.6908
36.5308	20.3428	6.9018
36.1093	21.0244	5.21
36.9737	21.0826	5.7399
32.2497	21.104	5.2902
33.9884	21.4397	5.3226
37.105	22.3842	5.3256
