mouse6c	mouse6d	mouse1k
102.887	62.3529	176.6207
167.2611	90.1148	170.2719
151.4701	68.8234	126.7384
90.7714	52.7181	172.4646
71.2633	76.4393	167.5082
110.8618	48.5762	160.2179
127.1896	92.8187	166.1894
149.1637	83.0514	165.9213
93.1549	58.3957	144.1012
134.1088	46.4588	158.8192
126.8643	52.1837	134.671
99.4646	104.4225	144.1072
168.9325	97.2934	177.8464
109.2443	79.6222	148.2827
174.4856	75.1203	146.1852
166.7879	71.3612	112.3667
152.6939	90.7181	187.3296
155.7814	109.4668	163.5185
170.1736	50.8569	195.6373
155.8598	65.5032	122.6676
123.3127	114.922	128.6994
127.5677	64.5145	159.4908
108.8637	97.6665	171.3794
150.6509	66.5103	174.0031
132.437	47.4782	88.9893
137.8396	65.2628	94.0841
163.5121	65.6513	99.9852
153.2195	66.4769	123.699
100.7321	109.8411	81.0666
154.1051	112.6594	96.466
162.3538	61.9565	88.3149
167.452	58.1942	73.028
116.7795	78.5449	66.3623
137.6631	75.4546	74.103
133.5062	92.631	64.8227
168.8025	109.8429	107.6677
137.5926	49.5547	96.5726
154.7022	90.2596	80.8274
156.6316	126.5946	83.4043
107.4957	50.9009	83.586
153.6035	109.5088	85.6545
135.7787	125.527	84.1284
162.3741	76.5306	67.747
135.499	102.2462	145.2847
125.3477	116.9693	115.1207
135.1699	88.731	113.2918
142.5863	79.4239	71.3515
157.1946	83.7804	61.048
106.0152	117.1287	116.186
155.1805	117.2778	69.3557
123.1018	65.4552	75.2226
152.6869	102.758	82.9338
116.7003	87.3662	122.5736
138.2243	119.1083	130.589
114.5742	123.3522	96.4148
155.1407	57.3873	178.2307
164.0767	48.2436	131.6193
141.7955	114.1663	102.081
168.719	74.741	81.3605
137.659	95.6353	146.2995
139.0528	75.2423	91.7616
149.5398	93.9972	103.057
109.627	97.9033	128.756
134.2062	66.6482	102.386
111.2674	95.2563	143.7434
85.2747	80.9973	123.7021
129.0367	78.416	114.4993
127.2559	85.0482	184.0538
78.7583	60.7642	179.8746
89.9886	93.7617	98.8877
150.3441	55.8012	126.9399
138.7681	65.2335	76.3933
160.3515	104.3728	76.1428
142.2109	126.6496	70.109
115.1875	67.6953	101.7177
137.1266	60.2159	124.6069
131.7538	103.9356	78.5429
151.3426	105.4669	71.4842
151.56	112.7258	78.219
122.029	119.7479	85.2393
120.968	66.5931	139.3235
110.9135	68.7673	119.0153
125.3553	64.6375	77.0791
169.6222	58.9756	74.3976
161.2406	100.2782	82.4138
148.1505	94.8446	122.2594
166.9669	62.779	75.3902
182.1417	84.9068	85.6427
128.246	97.8835	106.7173
161.6849	61.7422	97.5335
119.8549	57.9302	88.2595
135.1569	51.3507	151.4725
152.4195	69.0065	105.4051
145.0729	110.7797	109.6999
116.0036	61.8245	82.9458
113.5492	75.9597	98.9113
111.7202	80.0104	163.1774
123.8047	67.8834	161.7661
146.2719	79.9036	93.309
155.1336	64.1456	70.9269
96.8074	73.6732	123.3246
147.3721	84.2211	84.4822
177.6204	76.4606	83.3879
116.5386	94.6797	86.5882
103.362	123.4998	89.0405
140.8328	103.1352	140.6407
116.2824	79.9345	75.6101
120.7594	106.5938	73.8627
126.7966	68.7983	80.6043
107.6443	120.2705	65.6044
167.7913	101.7067	78.6737
138.8994	59.2767	97.7077
131.4942	95.9581	78.1165
150.4393	102.5048	64.5691
107.3583	55.3655	110.5963
115.5175	88.9016	170.2269
116.6859	89.5768	76.2422
122.9474	111.2637	173.0679
174.2953	62.9812	107.0771
129.7126	76.501	88.0902
114.7421	51.838	172.0543
132.632	51.0048	74.3768
83.0541	72.1854	64.3551
82.2146	59.8672	70.9431
126.9784	53.8838	172.7533
165.5892	73.9195	72.4845
182.2968	113.2344	154.8775
132.1622	85.7462	89.583
169.3152	94.8335	122.8111
150.4554	146.5024	100.2385
98.2965	142.421	78.4449
113.9002	104.4567	168.8014
122.6701	94.1686	78.0852
98.6239	149.9518	88.0386
74.7118	129.7496	98.3149
119.6439	111.1711	95.4151
129.4034	91.3622	178.2091
117.4632	133.8203	163.2997
157.7514	156.9364	168.645
158.1268	139.9711	157.5999
164.6727	123.1075	136.0317
128.347	113.8	172.7277
129.8723	163.9851	160.3322
154.0175	128.6503	160.009
103.0141	135.4806	155.0893
139.8485	152.5499	176.2431
155.7329	149.4298	161.1079
143.2657	95.7461	178.1225
144.0124	112.0438	139.3226
156.5484	110.7927	142.0778
162.4524	130.378	143.0648
80.5906	141.2707	148.3629
108.9575	115.1789	153.7031
103.2247	127.3315	175.483
122.4099	96.2574	157.1235
135.4625	123.3479	143.2831
105.3129	104.7547	124.4637
164.9984	99.1427	133.0384
129.4231	113.4706	136.3325
127.082	103.2028	175.8183
145.2363	94.8316	138.2028
143.1621	107.1526	147.2808
126.6354	133.9824	185.3928
137.0756	156.2637	191.3181
110.7833	119.4996	182.6963
96.6399	124.2291	137.9427
102.4703	116.0736	141.0173
105.6762	105.4582	169.0127
116.8095	151.448	130.1018
87.7198	132.5065	93.9969
125.9728	103.81	142.455
105.2503	86.9096	159.4316
135.8303	110.3059	173.5816
110.8687	148.8443	150.9139
100.1846	106.0832	90.2163
126.9983	121.4832	158.5194
136.3396	162.2524	172.3411
124.8251	105.7228	168.1679
157.1621	132.1694	155.8013
138.8908	92.1741	110.3303
147.083	116.4304	90.328
145.4821	119.3594	146.9134
132.0514	120.426	172.7814
130.0088	91.0295	177.4717
137.4029	97.8289	135.8491
125.9735	125.1908	85.1851
119.6809	105.5397	74.1505
139.577	121.0236	122.8087
102.7636	92.5824	68.8108
106.0694	20.6761	103.9424
123.1132	92.102	136.7989
153.3722	81.4425	183.7288
149.707	113.262	166.784
119.9376	106.0174	167.8805
116.2812	136.0237	158.9736
133.1728	112.9596	117.0392
105.6543	113.3914	174.2397
97.7062	137.2071	176.9987
147.736	135.3218	178.4304
101.7505	138.9742	167.5711
152.2219	137.3674	162.0126
131.1388	144.4486	166.4122
135.1377	80.4788	171.9288
128.532	86.743	173.5839
144.0764	115.1016	180.109
114.6547	101.3416	143.342
115.403	123.7553	138.5066
154.3263	131.5102	160.6058
122.6336	80.6983	166.0086
121.4786	90.2272	176.787
121.0814	155.1749	160.2424
142.5972	109.3342	112.4641
109.0632	122.409	165.3421
135.7797	90.0943	163.1325
132.2115	122.4019	147.4498
143.7156	70.1237	162.7382
117.4672	23.3911	141.7834
127.6818	123.9407	147.5384
139.4158	71.5539	146.5296
140.6193	53.5447	155.6327
144.5409	118.9983	168.0987
139.114	71.0683	109.3287
144.8185	74.3407	140.5364
131.676	60.08	133.8987
107.0437	65.1398	171.9636
143.1991	60.621	158.3125
149.9939	118.4658	152.7428
146.267	59.4313	159.3327
135.1152	115.8819	166.229
136.7706	83.255	143.6105
143.9975	114.2222	134.4387
142.6234	90.5133	154.2027
112.442	106.1272	176.2789
141.9908	80.096	120.7451
103.6875	119.7808	166.9996
138.9524	90.9078	66.2608
140.1552	39.0434	137.0462
133.9886	120.1482	138.5105
116.8158	44.9008	143.2447
131.1939	115.9224	144.881
129.4487	100.5227	128.4974
106.9724	68.8933	59.5559
115.9463	82.8872	117.8548
130.9985	119.9837	142.0351
134.2878	84.6106	117.3222
136.5687	105.165	174.2648
141.4615	48.2354	175.3689
128.6642	48.9418	124.2921
108.1655	106.9246	161.9606
118.4273	124.5853	142.867
151.0507	89.3856	160.8228
96.262	54.5483	165.0411
128.0613	102.0409	157.4929
135.0877	119.1712	149.1591
102.5941	117.019	142.6474
120.3033	40.5291	170.9358
122.7014	49.6909	147.3153
131.1058	68.4904	150.2674
94.5996	118.4215	156.0484
102.347	107.2253	169.521
143.0763	77.5395	169.1192
106.2186	90.5446	150.4931
101.2399	59.8735	114.6893
129.7581	121.225	102.3214
95.0225	64.5379	158.9699
112.064	45.5247	175.3117
151.7177	90.0815	141.3859
121.4608	50.3148	155.9147
150.1506	49.0393	165.3991
107.5802	54.3098	148.2345
127.826	121.3434	188.4459
87.7147	124.0272	183.5386
97.4842	41.7085	123.4837
129.5967	66.4394	171.5323
143.984	100.5913	96.3633
111.1257	47.2551	133.1746
112.915	44.4049	168.9259
158.3893	47.1328	158.1463
134.1665	41.2628	176.7194
145.3171	45.4077	119.8062
122.1199	89.0055	174.5893
144.9306	48.4444	156.8595
109.8731	98.6326	126.4704
150.6158	104.9494	120.9631
139.3443	107.9336	165.7127
155.6906	70	176.8237
152.1687	45.0552	176.7854
122.7616	41.1695	136.8147
112.144	69.9925	166.6305
132.9762	50.4847	134.5401
127.8356	93.5698	166.7386
126.1704	66.1347	103.4441
152.6177	109.4295	102.5212
113.8952	45.5823	165.2607
151.3632	58.5805	130.4116
117.7887	67.7593	162.0065
135.266	47.9099	174.6031
152.155	46.6958	137.9422
111.2367	65.5722	142.3493
94.8098	45.4742	175.3773
146.848	44.2595	157.2233
118.786	45.9146	100.8673
156.518	89.0009	135.3072
113.3439	99.1593	151.8191
128.8299	70.11	150.9703
152.7435	131.6803	164.9198
112.2869	49.0828	114.9311
163.9994	77.3874	105.7395
105.069	81.169	114.7739
130.3877	46.1538	175.3613
148.4896	97.8767	116.653
94.8726	52.9072	119.9162
153.2396	84.4039	159.1837
168.0464	71.5914	166.6167
146.0207	46.4654	144.1696
129.6662	55.8683	147.4908
120.6181	106.2998	152.0006
126.3469	56.4199	174.4056
110.1513	114.4601	165.5588
120.1473	77.6285	178.0186
154.8588	47.5936	166.3635
129.4898	45.3669	163.0125
137.3627	42.93	180.445
122.6798	48.0766	187.3007
132.4137	57.1665	157.3204
116.8888	76.0853	158.9029
98.0942	113.9443	155.83
113.7085	49.04	175.31
146.8401	74.0403	183.7009
128.5042	45.484	181.4375
110.53	74.1556	181.7407
150.7449	96.5672	171.5234
137.1381	117.7687	149.3282
100.9813	105.443	170.6935
118.163	99.5985	161.6623
102.5125	117.9939	174.2095
132.2884	83.4293	157.0477
116.7384	73.5695	168.6237
134.7061	95.4823	163.5384
85.2654	99.757	187.1399
135.6332	81.5163	163.836
149.2077	120.4305	170.6076
101.909	105.6973	152.0501
153.3779	104.5105	173.0079
137.019	129.8893	172.4225
136.1507	104.1834	165.6903
105.7885	123.2286	165.6683
144.3899	132.3685	164.3419
127.3297	120.2308	181.3317
146.7884	128.0769	163.3591
81.3983	106.5381	181.2473
150.1845	118.9383	175.7178
115.0025	117.7096	155.0827
141.402	72.8331	185.103
155.9237	111.035	152.1116
105.4018	106.3773	163.0792
143.988	111.8516	165.1305
145.93	113.9023	172.7756
119.8796	128.8434	184.5505
114.5739	140.2121	182.4368
133.0042	124.1727	180.408
106.1458	89.3364	154.9975
153.1144	139.6884	166.4885
109.4159	119.5332	175.8015
155.26	131.602	158.9033
99.6741	115.5524	165.5532
129.9702	93.6487	169.0236
149.678	125.2722	157.0993
156.3784	128.3722	172.8509
106.4506	79.8694	170.9765
95.6649	150.0515	164.4032
115.6997	135.5088	162.3068
143.4382	78.9412	183.2189
127.8893	52.8055	182.461
145.1349	114.1511	164.4237
149.4449	140.3622	166.7141
101.6759	127.7428	163.4349
110.4752	89.5953	161.7137
123.254	83.2074	178.2677
112.8083	145.4867	173.9106
111.8117	143.07	151.2941
137.3335	112.2689	180.3546
140.1028	85.9082	165.4115
99.8027	101.713	170.3506
141.1663	97.262	158.0921
93.0257	147.1991	156.0319
109.4944	91.928	160.3907
153.827	145.2686	160.6498
151.5137	109.6713	180.1914
149.7865	126.0615	179.6646
131.4696	49.2607	150.5768
130.5418	99.2912	179.2914
128.9318	96.6133	185.7817
106.0965	61.233	169.4179
151.0305	53.8213	165.7453
124.8311	135.9391	149.4283
107.5876	90.5599	160.6152
94.0165	100.7202	178.5037
155.7205	113.7491	168.7387
114.117	44.7266	156.3374
124.9584	100.4823	169.806
131.2078	78.8742	179.275
141.2761	114.2539	177.3664
107.7969	44.2654	146.3274
133.2529	41.7302	159.6633
138.2962	54.4627	177.626
147.0482	68.4034	174.2772
148.3131	95.5129	174.9004
156.6176	41.7558	159.7415
146.7066	73.4652	168.7828
131.9566	118.5058	165.2601
122.7723	94.4094	170.5995
158.8489	80.1879	130.2222
126.3113	80.9229	154.7172
139.4897	103.9208	172.6053
133.5901	70.3194	136.2198
138.9765	107.5698	151.12
127.0556	71.7863	150.3875
141.5505	104.4835	160.5581
136.213	68.6689	114.1427
152.9769	98.2207	186.5002
143.0274	83.7899	160.2683
134.5328	66.7363	166.7269
147.2333	86.5583	171.1101
106.1004	104.0258	173.9977
146.6682	110.7065	162.172
127.9559	111.6619	164.2044
120.3792	54.0743	150.8712
117.5055	97.4612	99.052
134.3849	84.1204	176.2958
150.4693	115.4899	181.7177
146.376	70.2844	176.771
170.5315	72.4446	164.6133
139.9724	90.9056	109.0418
126.4881	121.1362	178.1287
94.0672	77.2044	155.3666
116.8265	66.4805	176.8048
122.6479	95.7173	177.0171
117.1562	101.0919	168.0866
85.537	96.1606	179.5296
117.3116	117.7258	163.8238
