Eso-0-6c-1	Eso-0-6c-2	Eso-0-6c-3	Eso-0-6c-4	Eso-0-6c-5	Eso-0-6d-1	Eso-0-6d-2	Eso-0-6d-3	Eso-0-6d-4	Eso-0-6d-5	Eso-0-1k-1	Eso-0-1k-2	Eso-0-1k-3	Eso-0-1k-4	Eso-0-1k-5	Eso-7-1c-1	Eso-7-1c-2	Eso-7-1c-3	Eso-7-1c-4	Eso-7-1c-5	Eso-7-1i-1	Eso-7-1i-2	Eso-7-1i-3	Eso-7-1i-4	Eso-7-1i-5	Eso-7-1j-1	Eso-7-1j-2	Eso-7-1j-3	Eso-7-1j-4	Eso-7-1j-5	Eso-12-6e-1	Eso-12-6e-2	Eso-12-6e-3	Eso-12-6e-4	Eso-12-6e-5	Eso-12-6g-1	Eso-12-6g-2	Eso-12-6g-3	Eso-12-6g-4	Eso-12-6g-5	Eso-12-1a-1	Eso-12-1a-2	Eso-12-1a-3	Eso-12-1a-4	Eso-12-1a-5	Eso-18-1d-1	Eso-18-1d-2	Eso-18-1d-3	Eso-18-1d-4	Eso-18-1d-5	Eso-18-1e-1	Eso-18-1e-2	Eso-18-1e-3	Eso-18-1e-4	Eso-18-1e-5
172.6393	155.6719	180.9843	184.9495	168.1358	178.16	179.437	172.755	122.3074	177.0709	164.3468	163.5293	138.4503	140.2927	152.8299	49.9613	21.6304	30.0751	30.5291	29.4016	35.964	42.2202	18.0137	35.6868	37.8883	25.7974	44.4791	20.043	23.1839	33.4703	4.2469	6.8965	11.2539	6.8872	8.461	15.4825	5.6295	3.65	4.4381	7.5622	10.3779	6.2667	9.0587	5.7451	6.5409	0.3137	1.9495	3.9395	0.5753	5.1304	0.5902	0.3116	1.8103	0.6032	6.357
190.3694	171.4141	185.4019	190.5084	169.8966	181.5661	186.8012	158.4591	146.7288	151.0269	152.48	146.8794	159.6479	155.3783	146.4176	35.7138	17.4278	28.6564	31.8556	25.8205	42.9351	39.1597	19.9283	24.6746	41.2945	18.1521	16.1594	24.1133	29.1994	25.7925	3.2767	2.9359	8.8442	2.5167	6.1183	5.0998	1.9778	1.7439	7.6484	2.5559	4.6595	10.4265	10.3124	2.9867	5.2079	0.8062	0.575	1.1181	1.5117	2.8071	0.2178	0.7455	0.9032	1.3993	1.5307
192.8608	187.0574	169.0099	186.3037	175.9415	176.6204	175.2759	131.3339	167.206	196.4317	145.3364	134.7608	127.1686	157.0003	145.6491	24.4943	32.2693	24.5156	42.829	26.7153	42.0081	34.0556	36.9794	28.6478	30.3584	35.1663	18.8278	35.0558	50.4061	17.1482	2.9566	6.6832	11.2849	6.3776	4.0598	2.8692	6.1282	2.1867	3.3064	5.4467	4.5357	4.2916	14.3852	9.6091	4.2378	2.2377	0.4596	2.0263	3.0643	1.6629	0.6897	0.7496	0.7307	1.954	0.7779
169.762	179.3979	179.5076	196.3727	175.3818	176.9742	169.4193	169.1937	162.7458	162.7825	145.6563	166.7244	151.0576	150.2162	135.4879	34.1855	45.3672	23.297	33.0707	38.0263	28.3583	51.0643	24.8918	25.4018	28.143	35.2805	12.045	18.0441	31.5656	13.5371	9.5353	11.0877	2.5876	10.1966	14.5711	5.2141	6.2901	5.4096	2.4185	5.1469	11.5501	5.4304	9.8326	12.6653	4.6167	0.05772	0.8606	2.6337	0.9001	3.311	0.05315	0.2293	2.8887	0.2718	0.8976
187.1316	185.9783	175.4757	184.5386	180.4091	186.4243	176.7619	178.2476	177.6136	163.0792	169.605	155.2584	136.4601	143.8184	151.0866	18.0672	27.9696	31.9966	32.2866	25.6166	45.0733	46.3107	26.6676	22.04	42.3978	24.8992	18.1701	28.3229	23.7686	24.4191	6.0262	7.005	3.3503	4.7299	10.6796	2.4858	2.5164	2.0238	3.4334	5.2892	10.0215	7.5826	9.2271	9.7839	6.4853	0.6306	2.0339	1.7258	0.7021	3.5228	0.3437	0.932	1.6439	0.3613	1.5431
165.196	187.8075	165.3208	182.9775	163.8351	189.6318	169.8362	163.36	185.6107	181.4022	157.7428	177.1133	135.7836	160.6025	136.2052	31.6214	30.4792	28.6557	44.8241	24.1645	31.8707	30.5555	17.5314	41.4078	35.7749	26.4817	23.666	26.4852	22.3077	21.6387	6.4668	10.1591	6.637	5.3043	5.1836	3.9221	4.6482	2.2859	7.079	4.0523	4.7721	7.3517	6.4297	11.5437	5.2739	0.1549	0.5746	1.045	0.8904	2.4435	0.03491	1.5336	0.7251	4.9927	1.9482
183.7676	174.3156	180.923	180.2925	167.7817	193.6495	184.7192	169.6861	179.0051	166.7848	173.784	159.1583	163.7799	156.3054	135.577	46.4332	37.9795	34.4091	28.571	33.9852	37.9671	26.4213	31.2559	27.1426	26.5576	25.5961	23.2965	10.6214	13.956	26.8048	2.9285	4.8615	6.3408	7.925	9.6815	2.7969	8.6551	7.4023	6.5187	3.8552	12.2308	3.8508	5.5671	6.7864	6.4536	0.0817	0.7317	0.9751	0.6473	3.6241	0.3613	0.8636	1.4598	1.8668	2.1876
192.9204	151.8822	177.5396	187.0328	175.5963	191.899	180.281	182.273	188.8755	172.1109	163.721	140.6149	170.1049	164.2358	141.5442	49.6883	31.8219	19.9718	35.5653	33.3573	30.9623	27.4891	64.0236	29.6291	40.67	26.7781	37.6218	46.8284	29.6296	23.2952	5.5075	4.1423	4.1222	8.04	1.1874	8.4728	4.1555	2.1055	3.1886	4.5115	12.1599	6.9512	9.0756	5.876	8.9365	0.4213	3.039	0.949	3.3289	0.6406	0.5272	0.3363	0.5884	0.2113	1.3982
183.9038	169.3865	147.9993	178.5539	183.272	185.1513	174.7983	173.404	176.7518	169.9746	154.6059	164.1514	143.1645	115.4192	138.7164	29.0935	23.7643	24.388	26.9088	24.8446	86.8133	36.9052	13.6039	20.2056	53.7743	29.5436	24.1666	38.6302	27.225	40.6563	4.1044	3.6719	3.6509	4.6031	3.9589	3.5276	4.1857	5.3194	2.9674	5.4017	5.5921	5.632	6.5249	9.3556	7.3243	0.2417	0.05386	1.3802	0.8843	9.59	0.573	0.256	0.4815	0.4413	1.0558
188.5587	165.202	163.8594	177.0876	164.2601	160.5122	173.327	177.275	174.0052	182.0347	150.8813	146.7657	167.817	136.548	146.3148	26.4188	31.5831	46.351	65.6341	25.2394	59.7778	43.7693	21.072	26.8694	27.9892	21.9699	26.8956	26.6944	39.6683	18.9899	8.1046	3.6557	7.9858	18.418	8.6682	10.5214	3.1554	3.0047	4.8446	4.5499	8.2105	4.4211	8.9818	13.5965	5.9098	0.5856	0.4457	3.2894	1.0099	1.6843	0.972	0.5459	1.8127	2.1584	9.2915
157.8448	182.7711	146.4146	174.4217	162.6607	179.0805	160.5918	171.4699	177.3516	159.354	170.7197	145.3762	152.7624	146.2739	147.5512	23.0198	49.3557	47.5227	33.7846	20.3216	25.589	53.0232	30.5332	32.1318	37.3068	25.0291	14.8345	34.3731	28.0435	18.3402	9.5033	3.7483	8.6811	12.4672	13.9846	7.575	7.9016	4.1048	5.7813	4.9276	9.4292	5.2116	13.6565	9.352	9.8811	1.5813	1.1981	1.2406	2.3262	6.0396	0.9712	0.08599	1.3976	1.0541	4.0618
180.8262	183.213	193.4867	174.5638	177.0728	188.6801	182.28	177.9814	121.3212	162.686	156.2177	143.976	144.547	159.6869	146.7785	34.7793	27.0299	32.0537	33.0324	34.2518	44.3225	42.9239	35.0368	29.7631	35.6664	28.8922	22.9621	30.1501	31.5759	49.6576	2.4535	4.3017	1.4054	6.8987	4.2254	7.9356	3.8949	6.8601	6.5897	5.1387	5.676	6.2596	7.6654	11.9097	6.0828	0.1855	0.944	0.8708	0.8488	5.3635	0.1252	0.4043	5.4521	0.7748	0.9635
171.205	193.8689	165.095	177.5765	181.7289	186.2413	177.7558	178.2148	166.9097	175.3645	172.4873	171.3861	155.7224	132.8223	137.5941	34.7901	36.8215	43.1835	36.7046	38.7349	43.9868	35.4791	35.5904	18.0301	40.1724	26.6065	33.7851	24.4027	19.5524	17.5892	3.5794	6.0484	6.5817	7.7602	8.2899	5.3584	6.1889	4.7974	5.4295	2.772	8.663	5.1857	9.8966	9.6722	6.7915	0.1049	1.53	0.04181	1.158	4.9207	1.1595	0.2798	4.1941	1.8228	1.4309
182.3092	179.4063	171.9094	185.0367	166.5122	189.0143	183.1336	178.2751	186.8048	178.3012	156.3691	165.4094	142.2824	151.6522	127.9166	40.3303	14.6848	35.4551	31.6877	26.0518	39.1275	43.5309	22.7046	26.4709	35.332	25.1859	14.1075	26.0125	19.956	23.8227	4.1625	8.4586	7.0786	11.4154	4.9148	2.7444	4.2005	2.7172	6.1035	3.4413	7.4172	9.724	10.739	6.2214	8.4107	0.09286	1.4832	3.259	0.3637	1.9624	0.2281	0.6056	2.0158	2.2687	1.6145
