mouse1e	mouse1f
23.74	2.0629
20.0782	1.533
22.4036	1.3295
23.6089	1.6587
20.3152	2.2259
20.3834	0.7483
22.07	1.9073
22.6219	1.2634
21.8105	1.4305
21.8616	5.5208
22.5689	1.9853
23.8377	2.2002
21.507	2.0995
19.0775	1.4347
24.0595	2.2899
32.7532	2.2335
19.5657	1.6524
23.2049	1.2653
21.3411	2.4185
24.7683	1.9642
23.8547	2.6005
23.5029	2.3638
25.847	1.8025
21.2382	1.6905
21.9768	1.9642
21.8058	1.3226
22.1818	1.2836
26.0191	4.128
24.572	1.7866
23.3722	1.177
23.7694	3.274
22.7313	1.8289
26.6364	1.4912
22.1187	1.5115
20.8563	2.2745
20.8376	2.0625
24.5919	1.6714
26.3102	3.0053
23.6951	1.0129
28.1612	4.8086
22.5501	2.0609
25.6782	1.4472
21.7675	2.5257
21.4487	2.0495
21.0396	2.1635
23.182	1.6632
23.2607	3.7777
27.5564	2.5066
21.8748	2.7028
20.2372	2.5468
20.0707	1.7572
24.7534	3.7439
19.2229	2.616
21.1762	2.6388
21.7909	1.6421
21.9148	1.8218
24.9226	2.2773
21.4943	2.6179
20.9777	2.9266
25.2341	2.6946
21.4244	2.6799
24.4405	2.2443
23.5928	3.2099
23.1265	2.8088
21.8072	2.5058
18.6482	2.5141
19.6888	2.5254
24.0348	3.741
24.4986	3.5885
25.4491	2.7436
22.5789	2.7598
23.4148	2.7096
21.8194	1.5695
25.6077	2.1355
22.5661	2.0788
25.0621	1.8549
20.7143	3.6862
23.5524	5.0156
26.7479	2.2965
23.8456	3.1738
20.6079	2.5202
19.9359	1.68
24.3618	2.0828
24.3719	2.1315
22.1101	1.9761
25.1212	3.3725
25.2433	1.5947
25.6385	2.0081
26.6323	2.5313
25.1522	2.0019
25.561	3.5105
26.6458	2.502
22.3259	3.284
21.7158	2.4749
22.4901	3.4011
13.8609	8.7386
15.3162	8.5972
13.1364	4.0921
13.2191	4.3267
11.8777	3.3529
8.8222	5.169
13.5067	4.7031
16.3941	9.4852
11.5112	3.2089
12.5583	5.51
11.0508	4.0294
11.2974	4.8842
20.3148	8.2361
12.2654	2.9417
14.4131	3.4588
16.9146	2.8358
12.6544	6.3768
13.9776	4.7968
11.8067	3.2773
10.1203	5.4713
11.9116	5.3156
11.4728	2.4847
15.8775	4.8472
17.9035	6.4028
22.0207	3.9703
12.0829	2.7671
12.8426	3.1497
14.2663	4.4155
11.7522	3.1674
11.7105	3.2103
13.6493	2.5328
10.4869	8.5316
12.8892	9.2031
14.5824	4.6068
10.8347	4.7733
11.9778	2.4265
12.4013	16.4069
11.1078	9.0448
17.1945	2.6118
9.896	3.6896
14.7605	2.9281
12.5883	4.4966
12.3965	3.3608
12.8444	5.3111
15.6327	4.4785
16.6891	4.0375
17.9842	3.4299
13.333	3.5761
14.6476	2.8406
14.0685	3.3333
14.2151	3.8204
10.5884	4.9043
12.9855	2.6889
16.1507	8.0336
17.3338	2.7259
17.4634	3.5961
12.1379	4.1744
15.0083	4.2934
15.3322	8.861
15.4364	2.9815
13.7404	14.962
16.0607	3.2021
20.8672	10.6279
13.8504	4.5867
14.8325	3.1332
13.2038	6.0516
12.5345	2.4841
15.9956	5.1883
14.8231	4.239
16.1539	5.2593
14.5255	3.6448
18.0811	6.8116
13.2326	5.3169
12.8552	9.578
14.198	9.0198
11.8013	4.6766
10.9355	6.2911
9.3969	7.8168
11.8492	3.835
9.2088	3.0102
11.2546	9.8456
11.4857	5.4689
10.4933	10.0813
12.0942	3.3946
12.5266	3.2246
11.3596	8.5413
12.7615	5.4438
13.229	2.591
9.1373	4.8594
9.828	2.8168
8.6861	6.9763
12.1901	3.1328
12.9344	4.4687
10.7951	10.7546
8.6698	9.6718
11.7814	6.7185
9.4659	3.2205
14.3133	2.8816
21.3237	3.6423
24.7776	5.394
10.519	5.5977
13.7842	9.2262
14.1328	2.7312
12.4772	4.6528
11.8625	5.6976
13.1831	3.9853
11.7734	3.0915
14.3002	2.9765
11.5864	2.6317
10.8528	2.9367
13.6453	5.1351
10.4223	4.8162
10.86	5.265
20.4088	4.5855
18.6099	3.64
26.1635	5.4338
11.2216	5.1172
10.8992	9.5601
11.0633	13.6104
20.4454	4.316
12.9578	6.9973
14.0594	5.3059
11.2275	6.8094
11.3355	5.1841
10.4421	5.6937
8.4815	3.7577
18.9872	5.9323
10.1654	4.7732
11.496	5.1747
11.9304	4.5434
17.3402	4.7297
14.1663	3.6385
16.3056	3.9557
14.7032	6.8684
12.1894	2.9874
15.4364	5.6068
10.1634	4.029
13.8792	8.7301
15.8016	4.9461
12.8542	3.815
12.5896	5.6748
14.2466	9.0564
14.8003	3.4921
13.3675	5.4658
15.021	11.792
12.8885	4.2347
13.1657	9.9906
14.7398	5.9193
16.3979	3.1315
15.3558	5.6199
19.9726	4.1076
17.2944	6.317
26.6933	7.9992
13.7904	4.0329
14.1831	4.3548
15.0803	7.4447
13.8793	5.4101
10.6328	7.5607
13.2804	3.9548
11.2673	2.4961
12.9984	5.5714
18.338	14.8877
13.9081	3.8399
13.9554	6.2681
12.2199	3.7809
15.7358	4.9584
11.0423	4.8411
15.7752	3.8873
13.7187	6.6134
14.2199	3.7369
12.0864	2.5527
11.5738	3.4909
18.6539	8.087
11.1831	6.1228
22.1714	2.6582
17.3271	3.6374
13.0108	3.7614
19.6677	5.4536
13.882	10.0309
14.8889	4.9611
12.9872	11.0948
9.4761	3.5649
10.6139	2.1832
13.302	11.4895
12.5767	1.568
14.2238	5.7936
14.5085	2.5646
40.0163	5.5299
41.017	5.2808
39.4694	6.2644
38.7938	1.7443
37.9435	9.9102
32.4263	8.0088
39.1318	4.4388
38.7445	7.4159
44.5208	5.4313
38.3073	7.7315
43.1819	3.8049
39.3306	
38.2087	
34.2703	
38.7835	
35.5719	
37.3357	
34.4381	
35.9586	
38.7277	
33.9366	
38.3491	
36.2011	
37.2749	
34.1514	
40.4253	
40.8475	
34.4383	
39.4391	
41.4544	
40.0173	
34.2912	
35.6012	
38.0036	
40.6871	
38.8248	
37.8871	
37.5847	
36.6773	
34.4571	
39.0444	
40.503	
38.3415	
37.6831	
38.6329	
37.7335	
39.8454	
39.2482	
36.6064	
19.2292	
20.1074	
22.2274	
17.312	
22.3384	
23.5935	
13.7184	
12.15	
12.8334	
20.7731	
24.5466	
21.9828	
23.5252	
22.2419	
11.5409	
12.2165	
10.8774	
9.5784	
16.6099	
11.8969	
10.9773	
8.0357	

