mouse9	mouse0	mouse1	mouse2
18980.14046	13192.9768	8014.247312	12653.8503
18694.29595	11727.91878	10277.20167	14623.01524
21101.3895	11258.54176	8524.941477	8403.810296
19192.2296	12233.03178	9634.853029	10273.51544
18635.75532	11097.02212	11170.58646	7288.516522
18590.05983	7167.331409	8804.465015	9249.174356
23288.30809	9748.720251	8627.649988	8601.269367
18812.00617	6934.770544	9305.713547	12651.05888
26258.09731	6550.838242	10523.4623	9512.418158
22587.70432	9210.021322	10649.71203	11042.25981
29488.1614	8442.414551	12494.96982	10095.45926
29049.74937	7268.820272	9814.296012	8278.304779
32397.10145	6183.39581	17319.19537	9408.36475
15944.95513	10614.33022	10665.06927	7789.049121
24055.99618	8008.927193	8556.235493	8379.506677
19197.21936	12804.78246	6675.135554	7261.762278
19707.60898	11768.27428	10684.15457	7828.607524
18820.31277	9709.941028	10934.01579	9348.707593
16876.42355	9809.925616	9184.930114	13074.94033
19621.66389	9777.715877	9173.625806	12400.61196
22150.53837	9131.970803	8482.130125	9059.217457
18613.85466	10199.30122	10353.86041	9572.915639
25237.17066	9712.454455	9034.178564	7891.000687
17043.70915	9714.600975	8695.063114	9142.539063
16360.28789	10784.52749	8471.332046	8607.011723
15570.57234	12916.45331	9885.491607	8333.312578
24579.48718	12701.3165	12016.63292	6332.528458
20017.39962	11164.90278	10819.04515	8932.952658
20257.74436	14999.35612	8645.138496	6746.431947
20347.79497	10677.47989	10826.22049	10299.34778
15246.72131	11116.94678	10320.91226	8479.895914
17001.11772	9918.123367	12859.93318	6534.019832
19282.65884	11649.26575	13536.31045	7073.149192
23148.90948	11791.5298	17331.03086	7459.053834
19468.35378	9322.172259	15872.90995	8937.496428
17303.56845	9208.51972	16642.19097	6242.119816
17279.34281	9289.454545	14451.39879	8632.942478
17270.19786	10386.36996	13130.78691	8964.977715
20193.08756	8763.846532	15578.87228	15524.51772
22327.44726	9173.466575	19724.22384	7458.676704
8438.303887	8242.007797	10809.92638	11298.64956
9841.662981	11916.47245	15555.06433	10044.60395
9216.990432	13605.67204	13662.85768	7644.436507
7861.858834	15120.82448	18268.64376	6428.410811
6264.268427	12917.16563	20808.12151	8584.424725
8879.50762	15688.27673	15954.76299	9419.033928
7843.367496	14564.07854	19167.67204	9548.469263
5425.167863	13560.21637	20520.12927	9437.183908
6730.137446	14869.2679	18852.01317	13371.20865
8269.237569	13886.08548	20644.49057	9439.280576
11577.34565	16718.58316	17004.19854	9642.98084
9194.192377	12484.20355	16596.14747	12368.4605
9818.985105	11723.9692	18033.63393	15648.7247
8926.407767	12496.45868	10458.24755	12646.71155
9116.14143	12877.96194	17493.77909	11994.94687
10912.69615	11127.52101	15136.27278	10362.39554
9781.568252	13007.35115	14182.29807	13332.13538
10534.23729	14657.287	22537.8627	9627.449768
8779.808186	9331.991488	20884.20195	9318.55438
12370.21124	10603.37736	17346.41655	10066.5113
7812.790488	12088.81244	23289.20781	12500.59316
7861.380865	11296.35417	20255.87828	11303.21684
11376.11874	11637.79443	17144.89004	12960.79914
11322.8929	12985.49177	19991.4682	9178.668975
11927.43222	16601.03118	20410.86183	11066.00228
8866.998689	16025.26462	10305.70354	8552.557756
9580.198661	9467.236611	10524.54772	10727.21299
7823.877782	10799.47368	9593.700286	11396.24969
7970.814625	14416.54773	9834.407605	12473.60866
10318.729	16482.30958	7609.826345	12472.84827
9194.288332	15163.58281	8438.863405	11892.18203
8387.51763	11063.4635	7843.1935	7798.159659
10200.83825	10838.70508	7516.434604	9657.321753
9694.565525	17589.55194	9698.457944	5968.679331
6817.723191	15563.61439	6384.485739	7427.798554
13784.66019	16108.94982	5166.153846	7115.436055
8395.901076	16675.67852	6390.222063	7711.908476
8873.071443	14443.80373	6521.778763	8125.300722
