mouse6c	mouse6d	mouse1k
165.4705	160.1912	86.7891
178.0123	157.398	113.4363
163.4347	130.3448	96.6197
166.4793	165.0908	79.691
167.1259	151.5722	111.0398
171.6476	151.5903	109.5806
163.133	162.9312	100.9935
167.3379	155.5632	106.3714
167.7234	149.8809	111.557
162.234	129.8461	91.4075
172.8705	140.7095	99.5955
160.5747	140.4684	110.6221
166.6205	149.7538	57.5916
162.254	127.2392	85.7327
173.4203	145.2578	79.3683
166.1948	155.931	93.3507
151.1982	142.4924	89.057
158.5309	148.3752	80.9397
175.4492	155.6081	101.4186
148.0837	148.5437	103.7367
123.713	137.9037	104.4446
168.6301	158.5396	101.7694
171.0857	146.9323	100.6879
163.7524	139.6021	64.0496
151.7757	143.1398	100.1905
171.0475	162.7643	112.9484
150.1077	159.5338	79.9361
170.2301	148.4353	111.5116
169.2343	146.0219	95.837
148.3299	154.3847	73.5705
164.671	150.2936	94.4736
165.1873	118.3727	80.5391
168.9129	144.9878	101.8695
140.4757	148.5289	77.0526
151.9526	141.0763	102.905
168.0248	99.443	114.8426
172.9627	157.1601	85.3627
174.4064	121.7326	79.847
161.0609	101.9417	86.2812
149.0794	155.8803	94.4543
172.3291	151.5465	127.8699
167.0431	138.6342	75.4592
155.6023	146.8982	109.3636
167.3228	127.4814	103.902
175.8797	155.5914	99.4714
169.3783	154.5902	96.0022
161.4252	147.9118	108.2742
166.7427	142.1502	95.7723
162.8463	143.0053	114.0349
163.6598	149.5613	123.8441
170.2328	144.888	97.8587
172.6153	167.0493	132.1418
153.0519	124.5193	103.0718
165.8077	166.1827	109.8223
159.068	158.9925	96.2108
143.5561	154.0828	107.0377
159.4259	159.1549	94.2352
167.9348	141.4104	106.702
135.6325	150.8379	134.8115
156.6574	156.3089	98.0568
173.0723	151.1551	95.1831
157.1978	170.0404	111.9355
155.5675	186.4122	96.6805
166.5522	188.3289	103.4348
157.1861	179.3108	93.5472
179.0809	132.908	116.0962
154.3572	187.5427	126.0464
145.0357	188.3839	100.215
159.7572	156.3423	87.2454
157.9408	176.3244	110.8627
171.4123	173.6181	126.2982
145.4834	192.7622	112.5485
147.7236	155.1958	109.7702
153.9991	181.1896	102.3879
151.6253	182.668	82.0172
156.2841	184.4572	96.1873
155.7493	188.592	96.5391
163.7483	120.1262	87.4055
163.6478	186.957	118.9284
141.2324	173.4664	115.0746
156.9041	176.1836	86.851
157.22	164.7213	115.6032
97.4518	158.495	108.6991
165.3976	170.2955	94.4354
162.3181	190.4225	105.7168
177.3737	182.4984	83.2947
201.1432	181.2387	95.062
185.4328	180.3789	100.1542
182.6629	190.4809	82.969
179.6897	177.4519	85.7977
177.9659	160.09	90.5108
183.406	182.7521	94.6162
163.8866	190.1387	112.4474
178.7752	182.3733	80.7329
180.8868	174.5286	92.4301
175.3595	187.2123	100.0639
182.4419	190.7001	112.4625
173.4867	193.4018	105.8341
162.0683	183.1888	52.8518
179.8549	184.277	87.7929
184.3931	178.3239	96.5227
191.6516	187.4386	93
180.4144	198.7393	37.6722
170.6773	193.1965	83.6712
177.0959	169.1639	80.5566
175.0761	192.4328	99.6058
187.3169	186.3492	111.4539
185.9292	179.6736	110.5103
167.5994	197.9193	84.5487
181.8984	167.2605	85.1944
189.1044	178.7005	83.6912
187.8915	199.1048	98.201
183.7209	189.7812	72.484
177.1814	162.6368	90.2389
185.3604	194.5419	98.7099
151.503	175.6962	99.5113
181.6305	173.3539	73.2327
179.3322	193.8416	104.3786
189.9831	179.4911	103.3582
177.0935	183.4741	96.6436
183.5628	190.875	105.8991
178.9215	191.7124	111.5343
193.0457	198.4959	106.0909
162.5416	193.6585	116.3997
185.7883	188.6552	87.3368
183.1487	178.0991	95.196
172.9527	191.4125	81.1579
188.1633	191.5422	110.4833
183.4262	187.0499	77.3625
160.4255	179.6786	96.3319
189.6677	187.7	103.3894
188.0786	186.9458	90.4098
174.8212	191.8421	104.9124
170.1027	178.6885	94.9436
180.0004	183.7037	103.9386
156.1052	174.1804	94.8877
163.5734	191.2576	117.5833
174.9994	187.5972	100.0558
176.6214	188.0601	93.6292
177.9902	189.2168	86.8892
178.8522	189.7929	119.0859
160.7268	173.9772	105.0162
176.1788	180.111	71.9292
189.2375	171.2537	95.4068
165.4896	190.4399	103.0398
167.765	176.9042	100.0639
167.9408	188.7909	89.6059
184.7865	189.7848	111.8597
189.1772	186.829	68.9461
175.2001	187.1177	99.9333
196.2469	183.4624	81.9196
193.8321	192.1827	110.5852
178.9589	187.4616	120.8931
192.1854	201.1771	66.1246
176.3354	191.3673	117.8752
180.8801	192.3987	117.0928
184.2551	186.6907	81.0543
198.5561	196.1566	47.221
198.1966	184.9996	99.1966
189.794	194.222	111.0835
182.3915	198.7535	110.1044
177.1056	194.4184	95.111
186.3371	194.7908	90.2237
182.4561	191.4667	96.1319
180.7206	196.3973	125.2179
190.5284	193.8611	126.4646
177.962	192.5436	129.72
182.7211	198.611	89.6979
148.1152	187.8587	109.8317
166.2471	188.5109	107.9112
180.3932	189.0511	108.4102
177.7099	187.8284	111.5817
178.541	193.3444	107.2437
182.2235	200.0105	166.2717
180.1518	188.8379	166.4871
137.9524	180.853	165.8074
176.3204	190.8817	156.4869
179.3105	188.9345	154.3664
163.5974	186.4085	165.7468
