mouse3	mouse4	mouse6	mouse5
7947.492459	2091.287789	4754.275788	4185.897143
8331.333166	2918.470588	10374.31542	5739.282429
8204.1399	8814.4396	9053.365676	3831.45459
8618.534071	5866.346154	8465.233061	4341.91947
13879.75045	5132.920259	4750.34133	5348.239178
11143.90154	9873.183894	4696.614734	4555.635649
8716.429907	5671.442262	3509.856817	6916.757036
7666.573524	12043.98034	6293.774319	5885.060691
6470.932203	7175.541252	7280.667744	5252.334083
6973.007018	5789.700704	4102.777778	5338.556505
6667.376966	8771.119747	6215.375	5268.531803
8270.981432	8373.648186	4786.386067	4092.838809
16667.28084	8636.745927	5199.760702	7783.19016
11778.66894	9048.874408	6324.610111	5241.301601
11558.57978	4084.562864	6544.20589	7914.756418
14295.83528	6652.505353	10367.36658	1829.774436
17485.88404	6811.548556	4778.496008	2001.717018
12515.72044	5137.920904	8304.236828	2957.970411
16021.48177	6418.621399	4994.699872	4776.830249
8734.952793	6044.551824	7725.35306	4346.270187
14717.48107	5646.558198	7268.365385	7395.977154
16356.92241	5922.125226	8960.421166	5618.901928
6083.181693	10358.97693	11089.95941	4811.721728
6656.155568	6395.331643	8886.209161	3290.707434
7630.166196	6782.58832	9201.30662	2817.68856
15070.2585	6434.391144	5364.97761	3339.745444
14708.52999	4853.907496	13160.35205	2323.640303
12441.15543	5875.711744	9950.777605	3553.223253
10339.60232	11424.45298	14607.8667	4664.829711
9850.227964	5016.502071	12099.77778	2631.514928
5297.7033	7909.152598	13369.57533	4919.468163
8913.155422	5087.812971	14370.11353	3244.785408
4702.356616	6442.466422	15580.3588	3503.041065
6987.904762	5007.737181	8022.144522	4130.900569
7112.749865	5532.99389	15486.75304	4420.887613
7682.830475	5287.545235	12928.13313	4933.918919
6671.223301	5750.771605	10870.16481	5450.596659
9984.607143	5833.464567	9109.077454	3907.070406
10979.3546	4617.507003	13012.61168	5771.652816
11878.72449	4299.839744	11314.12469	4748.582996
7128.782988	4923.047002	14232.44361	3772.432294
6387.623098	4834.567594	8050.148075	4614.681015
7189.478958	3726.708617	7999.929304	7250.340633
5684.642521	4597.564849	9915.820029	4770.857349
9642.252511	4172.260956	7081.794195	4438.068966
11208.85539	5950.454921	13164.68568	4762.219051
11872.34513	5661.22549	8204.966792	4452.974993
16282.22117	3277.010265	8168.311249	4137.38511
11785.80115	3346.37883	11595.8451	4140.576557
17451.65625	5324.25772	12826.1055	3895.366451
9793.051081	2745.727394	14166.73759	4021.774814
7241.933086	4612.601626	15486.62446	4174.474339
14876.19803	4662.633136	8808.711167	5536.430254
9020.285317	6843.190757	10626.31923	3148.10536
9370.404494	5725.413403	5074.175935	3858.781497
5954.545455	6031.285266	4324.710871	2605.348731
7803.090268	6345.664295	6597.166989	4669.393249
7116.829268	4256.318481	4848.341787	4489.844761
6717.799597	3983.105846	3983.464755	3326.301853
9979.793381	5629.815369	4477.343265	3014.904719
7471.476604	5088.879493	4092.651395	3096.537678
7478.941106	6650.084034	6381.948798	2812.569214
11712.91452	5970.816764	2782.954545	4083.351528
8589.726801	7652.800695	7892.201518	5373.600578
13000.84442	6448.268279	7148.595455	4628.726555
14373.37976	5737.557781	3323.860812	3757.40835
13972.48295	5278.195751	3912.82586	4498.363059
11536.84094	4218.11289	7985.330756	4231.466227
12201.97133	3435.535813	3208.511354	3743.408284
8048.776299	1689.038093	7672.040816	5936.168788
7326.744904	4903.596899	6789.242394	5378.245422
10085.12611	3764.717041	5936.764706	4792.919359
11349.19061	3958.391261	6105.05992	5354.966754
12240.45135	2969.596929	5599.505852	7045.773276
13030.66178	5836.584494	6381.899584	3970.043188
5712.756039	3415.381895	7132.792793	5836.827302
11822.397	2957.685069	8106.75307	3931.242696
12680.4825	2695.30558	8080.686575	3820.774883
7787.704918	3620.316144	7496.087388	4684.40367
9047.84885	4731.714126	6491.711604	3228.637087
9419.23668	3148.250653	4879.278822	4498.819711
9848.677249	4076.443812	5169.226361	3303.878348
6422.620905	3792.124046	5535.960503	4377.210884
12618.75338	4792.700975	6127.50533	3530.30303
9149.359444	4423.673316	5155.813118	3963.054464
8319.114492	4365.373961	6784.380249	7301.998358
10631.51429	3494.474117	5883.342027	6179.042759
9936.998203	3041.282262	4548.798888	5166.761029
11312.69246	6823.849273	6224.615085	4523.757764
12837.5471	4159.762179	7240.959802	6306.722107
7424.674675	4537.306701	4492.310749	4695.323174
8203.956769	4382.667635	8696.724566	4819.947781
10421.72595	4176.478906	5047.764762	4241.930003
8437.458268	2746.360789	7758.226639	3046.698752
15485.62547	3148.793906	6986.755925	4673.390152
7355.952574	4395.302736	3680.791546	2350.372103
4845.502392	1786.074271	5130.084137	2396.89155
12230.08794	7091.942446	3618.522373	4365.763945
7755.333626	2253.900256	6019.262782	2476.891616
7265.95326	1884.240989	4692.131897	4642.853312
12386.74723	1727.555556	7398.432386	4398.570294
5118.399362	2532.102023	3270.414554	4387.312974

