mouse6e	mouse6g	mouse1a
17.5697	12.2962	12.6209
26.678	12.0846	8.1548
14.9644	8.4651	21.1286
78.9017	10.7847	16.7526
28.5422	7.5854	13.6738
37.2437	6.6806	17.5047
29.1871	8.439	9.9988
42.3853	22.1223	12.876
56.4825	13.1883	27.2334
44.8267	15.4916	15.1289
50.5276	14.4148	30.1918
115.1396	11.9937	32.6463
70.6458	16.633	9.123
82.1767	9.7113	21.7802
28.6241	19.2861	15.3923
30.9555	12.4234	22.6756
56.3587	8.71	17.0008
30.3068	16.1017	12.8519
31.8403	14.7754	13.1925
52.3462	16.1597	19.8071
73.3804	10.1676	12.8839
49.5208	10.4294	8.9666
53.4341	8.666	5.8418
62.5773	11.1937	15.2844
17.0854	9.0734	13.8508
41.6877	13.3317	21.1703
44.4758	24.2845	12.3626
97.2409	9.6085	17.3643
31.616	8.9062	9.2018
34.8915	17.681	25.5211
85.3264	13.4609	19.6761
43.7512	9.582	11.4929
23.7391	6.7718	16.2199
48.9493	28.6965	15.1034
33.7364	12.7852	10.5774
77.5662	16.6514	17.4195
69.9651	30.4082	13.4866
37.3605	32.9209	15.4013
28.5607	12.7092	11.4502
37.3593	20.9119	17.6148
46.9362	15.0914	26.3897
29.6857	24.1477	16.1415
68.5455	25.8125	16.9922
43.1721	35.4966	20.536
36.9666	44.2663	24.1255
62.6264	12.8117	19.8078
29.5892	16.2207	19.7293
28.6589	25.6411	12.0635
16.5346	32.0853	9.6571
63.0442	9.7107	16.5085
106.0996	49.5059	9.0972
42.5944	19.5062	15.9277
55.6252	23.3391	14.4274
68.9442	26.469	15.4295
42.61	36.2683	6.3395
39.2056	10.0741	15.8166
59.4193	36.3756	15.9317
68.2577	23.1381	21.2037
73.8968	21.6788	13.8313
42.7916	15.0892	24.8912
36.9153	26.6837	17.9875
50.8575	13.1783	29.9511
77.3149	17.1419	18.1076
93.2752	42.2575	5.4943
82.3008	17.0878	13.2858
40.6532	25.8531	17.1769
73.9039	44.8837	17.1745
57.9059	13.6828	11.3818
48.1347	20.572	23.3394
58.7034	14.6213	21.5084
28.6141	15.5592	11.0398
67.938	12.8703	8.9113
82.5894	16.81	11.8793
61.9817	30.7073	12.0355
66.2372	37.8298	24.2058
60.4553	36.9565	19.8351
51.453	18.1371	21.1707
52.3753	18.2295	11.9354
50.3923	18.1314	9.7323
87.4188	24.1076	24.1246
58.6301	40.9683	11.8346
93.2067	32.434	32.7531
109.7982	29.2524	12.4905
52.4294	25.5754	8.252
58.5607	17.8122	19.6108
31.5777	20.1284	16.6011
113.932	23.9118	21.7959
85.6525	38.0526	11.8775
35.7467	16.7171	25.393
55.2937	17.988	11.5467
55.1153	19.3555	20.4949
35.9647	31.7315	17.4358
45.2399	45.9101	35.3439
63.4316	25.7852	33.8378
53.1629	51.2126	30.9153
70.492	21.9245	7.1572
31.849	12.7309	10.4758
77.5023	20.3551	35.5734
52.0236	15.1936	11.4032
29.618	21.6448	9.8035
54.4888	29.9166	15.1723
30.5287	14.7481	15.0954
61.4088	22.5701	10.2299
73.3406	28.9799	13.0298
54.218	16.9945	28.9764
54.645	15.1134	6.3792
59.3875	41.4413	10.275
59.6359	16.9695	10.4245
48.04	24.3272	2.4744
64.5856	36.6679	5.0455
43.1767	25.5267	8.4066
50.7743	38.163	18.8124
68.1185	14.1453	7.4598
35.1004	26.0885	5.1864
51.6526	59.8627	14.8801
29.6623	17.6975	6.5924
51.6621	23.9067	10.8575
61.1827	54.3549	8.7994
31.0069	27.2147	2.7985
56.1724	24.6561	12.2047
44.9689	16.3762	8.7266
70.2946	34.4378	4.5245
44.951	9.7487	9.1746
40.3198	18.8247	6.7
61.812	36.4958	8.3652
63.4613	15.101	15.7346
47.5133	29.0664	4.8576
74.2517	45.8237	4.1469
41.2945	15.4916	10.5554
80.2691	33.822	7.0521
61.875	17.7688	7.0159
34.5957	24.7715	17.6888
67.851	31.6392	12.4454
54.3882	29.9371	12.4085
56.0793	26.017	4.4783
32.3021	23.8035	8.1396
12.1916	15.7665	15.1938
74.365	14.2995	12.2711
60.6117	14.2535	8.8446
10.2472	25.8235	15.5234
38.0086	23.7366	8.3713
25.2559	19.7976	5.3617
57.4346	34.1105	14.8863
34.5415	23.9862	9.0088
58.0731	15.2613	9.1238
72.7263	15.6999	4.3226
47.358	28.5927	10.348
89.9483	31.1417	11.6493
84.5584	19.0773	3.9311
88.1226	24.0762	6.9716
66.6694	44.6168	22.9525
93.3492	32.9095	12.6474
35.8983	34.198	10.3126
81.2972	10.242	6.8981
29.3291	12.3971	7.1961
54.1254	15.1357	9.0065
45.8174	27.0988	7.5285
89.9422	46.2719	13.9168
99.2032	12.2643	19.3407
59.275	15.947	6.7252
78.841	25.2717	23.5357
105.5455	23.3988	11.419
79.2186	20.1906	6.0395
64.1947	22.819	8.7558
58.9712	28.4081	10.6012
39.1974	21.5657	13.1199
53.1836	58.8695	16.1297
55.3838	14.1254	8.8831
81.7615	17.046	5.9332
67.1951	19.8286	17.9484
87.6041	28.7357	8.0925
72.5593	17.3322	15.6816
90.4859	39.7602	9.2888
47.0592	23.3635	23.6734
32.2489	15.5097	8.4704
89.7145	24.0304	26.1873
70.1448	26.3949	8.258
101.7368	20.304	9.5122
81.9564	36.7505	5.939
146.7616	6.0462	11.0385
51.1625	36.7764	6.6297
34.7858	31.9374	18.8936
28.785	52.6024	15.5781
66.0591	20.0861	11.727
23.5581	28.1719	15.1889
10.6076	17.8957	5.722
64.7138	31.6064	22.1184
11.2119	19.5598	7.6874
46.9989	17.4086	4.4451
134.9298	15.4819	7.616
41.0852	27.2812	4.5163
52.7669	18.7586	5.6003
45.2954	12.1394	4.602
23.8927	12.6511	10.6652
30.9038	15.8315	8.9038
47.4519	17.3619	20.6754
32.2238	9.0821	10.3856
81.1711	27.0003	5.9651
43.3166	8.5056	7.3269
62.6257	16.8776	3.893
74.0049	15.9639	12.3109
89.2968	14.975	8.754
72.9855	19.8912	10.6236
42.3651	10.8514	14.3352
135.751	12.5876	11.2052
126.4984	11.7291	12.7397
70.8028	12.0675	3.1313
56.3472	15.2632	10.4477
46.2812	18.6775	6.9728
71.9923	26.4858	15.8895
82.384	40.6631	23.2544
89.0937	33.4257	11.7011
44.1065	14.8447	11.3541
65.8089	20.4131	17.2465
84.7323	16.932	5.4499
73.0189	13.8436	10.037
76.5266	13.6661	6.6894
54.8589	10.7686	17.9857
62.9317	7.9261	5.346
59.6874	13.1923	8.2787
61.878	13.0423	21.5658
46.9989	27.2812	10.0908
77.9688	16.7972	6.5904
42.7707	9.6281	9.3497
68.1638	7.3156	9.0951
34.8284	25.3968	15.5896
80.5783	24.3327	11.2894
57.2435	8.0153	22.089
79.9899	28.8143	8.0586
68.9579	16.5349	7.8681
53.1484	18.5011	9.0538
33.2817	24.8426	7.8719
88.5017	14.0251	13.0413
41.8198	12.6291	15.7181
61.9183	24.6403	6.7808
35.2209	15.0467	11.9484
158.0705	15.0958	5.29
57.4545	17.7744	3.0098
49.6089	23.6769	7.1891
26.4148	27.9082	7.7347
34.8984	10.1884	8.8906
64.4746	17.6076	6.6522
45.8672	17.7324	7.2233
54.89	8.138	10.0061
20.5816	13.2398	6.2272
64.2022	21.2404	10.097
50.1138	27.9407	2.5068
34.2248	13.9053	10.0723
55.2105	13.5075	2.6993
35.4623	9.2085	5.6686
39.9419	40.4129	5.5095
20.9093	34.8776	8.1707
69.2794	9.5802	9.7831
38.302	19.5641	9.6328
39.0606	40.4769	8.9569
42.6433	30.7028	6.9526
38.484	26.3888	14.7156
10.1074	11.6878	10.0649
13.4875	33.465	12.9883
77.324	21.191	6.0033
20.9652	30.0922	8.9242
63.9916	14.0306	5.2715
24.1467	18.9901	4.69
47.0054	14.6891	9.3974
57.1043	27.3059	11.3173
32.0043	10.6536	5.7017
69.1902	25.6425	7.0189
75.7527	26.5212	8.48
45.4702	12.3619	10.9822
12.9682	18.0208	9.7008
15.0192	22.6724	7.6464
9.7727	26.223	6.7061
17.3529	11.7449	11.041
21.2857	26.8043	7.4152
52.292	16.3522	12.4493
62.2018	14.2543	5.4463
16.5201	15.3332	12.5095
26.0044	12.7273	9.7738
70.0225	19.6025	5.6243
47.834	14.7546	9.6217
11.6906	21.8467	5.0009
78.4594	12.0519	5.8577
32.3888	13.6075	21.2739
10.33	14.7602	8.9371
61.2476	21.0746	5.376
52.843	22.664	13.5512
55.109	24.8439	5.4352
11.0992	17.2508	16.7737
45.7959	8.4653	6.879
15.6174	18.7686	5.4118
46.932	13.8634	8.5236
49.0285	23.0483	16.4531
13.6754	33.8182	5.6067
25.4864	29.7519	5.768
24.0494	14.0437	6.0025
25.0533	30.3411	10.6857
9.6267	13.4349	16.0112
74.4404	14.5695	8.8916
40.5923	15.3534	13.4423
27.3506	9.593	8.8105
30.9632	11.243	9.1689
108.6777	12.1736	16.7558
69.187	18.8211	16.0859
22.6446	8.0751	13.6673
25.8257	44.3008	7.0312
74.5955	19.6671	9.0202
47.9338	17.6694	11.3304
40.3094	21.9052	8.1084
55.3486	48.1865	6.7519
23.395	12.8229	7.5372
129.1673	19.1126	5.6716
26.8315	12.8211	12.4144
34.2933	14.0604	7.2188
38.0458	11.1222	7.2645
46.0482	16.0138	5.1288
35.7232	42.3516	10.627
18.021	18.3583	10.6374
18.2234	55.3411	7.2957
44.6281	25.9383	9.2084
48.8066	33.2183	4.0978
48.4391	76.0009	6.35
38.8125	25.5269	7.9172
49.2872	16.3475	12.3278
39.5227	27.6741	11.1314
22.8796	26.7428	11.759
52.8807	14.8402	12.724
10.2755	44.2614	7.2226
33.414	35.288	12.1351
37.0176	18.7747	7.8476
61.8898	20.0963	10.6274
21.3128	30.7756	13.7861
63.9789	45.3781	7.975
52.3677	15.8135	8.0334
69.8715	16.5715	11.5168
13.5596	14.2497	9.598
10.313	43.5074	14.2728
37.8486	15.197	11.4761
44.3341	74.3195	7.0355
42.3337	27.8324	6.485
58.1273	41.7542	10.3537
45.805	52.6253	12.0555
32.9607	25.0578	20.4443
15.1031	28.0372	8.564
26.6304	31.9625	12.0846
26.2111	55.593	13.1759
93.3662	50.3971	18.5917
114.1134	52.8869	14.0779
59.2329	38.9631	12.9993
48.1727	24.6793	6.597
87.5334	21.9163	24.6064
41.0179	61.46	5.5794
48.3634	35.7722	11.1812
39.1892	16.3324	17.3568
69.2397	17.3654	8.4618
56.0795	22.9142	30.9052
60.2499	21.6142	11.0693
96.1807	41.3264	21.9194
36.7018	44.7263	28.2923
46.4523	16.7865	11.4807
58.3857	53.8125	18.0894
55.5886	38.0873	20.2029
62.5398	49.835	10.7821
88.2417	60.5098	12.2448
52.0739	31.8319	4.696
38.0469	52.346	15.6788
22.5597	46.9319	12.0618
55.5814	63.0174	23.7099
28.1107	21.8887	17.6243
24.656	45.198	12.8748
66.1188	26.8278	32.3557
29.5609	27.7893	14.4484
86.344	49.0313	10.1918
87.2959	35.1613	10.798
83.0798	21.6226	4.3042
46.3471	23.4594	6.4223
34.2266	21.5973	11.6436
52.9589	32.0558	12.7649
66.5797	8.244	16.6016
41.7405	20.184	23.1393
120.2051	45.2701	6.881
19.1377	22.2757	40.6354
35.0633	30.0881	17.8677
