mouse4	mouse5	mouse8	mouse9
24526.26636	23812.49301	35521.6092	6172.495645
27446.64083	24627.64906	26357.35162	6127.250384
21387.54237	23771.39147	35913.19711	5225.287356
28778.55589	17700.61218	32086.007	8138.931448
25640.37308	18326.85232	31216.38612	5712.365377
17531.09668	25069.36709	28156.59207	8854.897419
17999.8151	24013.79693	39358.71731	4430.898231
30404.47824	23907.86749	32777.94555	4353.704422
18235.68356	17755.86957	30117.24721	10434.56539
23602.02356	22188.0387	31844.84407	6938.927563
20915.80336	18361.65744	31269.38621	9101.894879
25013.62719	25271.57168	34132.95615	6572.12538
28690.99541	26063.07652	36397.09141	8323.92905
20726.99263	23219.79356	34189.54181	11130.71686
15907.26989	27472.2584	27657.23192	9733.869062
23658.9767	27073.38286	26026.39692	9330.550203
20198.74477	21072.96219	35120.87552	6701.538108
21778.78907	28545.97908	29874.70474	8429.240434
17452.00297	24340.28695	39724.39556	5099.585921
24026.05616	16554.07986	27007.46787	14356.69761
16725	14756.41204	25059.43921	5389.468673
22007.91993	14714.38688	27901.73959	7632.792984
20828.75338	14270.30932	24615.45396	3791.127695
22417.19644	16473.97504	26849.54238	6378.540237
25543.01211	16321.84991	37140.96557	5942.086331
20857.57296	21470.15906	34075.12879	10121.25226

