mouse4	mouse5	mouse8	mouse9
25715.62278	26469.82334	40088.38761	19438.39572
38175.07877	24335.70099	28557.18824	26883.66903
27473.28198	19905.63611	32292.27738	18774.72308
22552.20388	18224.70551	30175.37258	14262.52324
32586.3917	21516.61172	30667.4987	10502.57831
37099.48071	23825.17877	38602.32558	10672.21593
38882.19541	17111.91103	40098.38206	15156.97535
22195.99428	21769.47681	37281.34731	13529.97253
32121.22246	20489.09738	33674.33862	12212.25148
33378.15534	19528.93553	27117.18651	10948.81281
38966.05066	23616.18902	28744.2829	11861.48649
24626.95853	16629.02194	27971.79909	21700.44783
30585.23268	15653.58946	32399.50867	12930.18511
21636.94702	14497.08069	36532.98595	12088.03213
27129.93647	18014.55213	27459.22871	14226.85693
21597.47318	15526.63715	41284.1275	10307.95925
20126.41785	20561.33218	29380.05848	8344.630682
31592.08014	22162.11166	32379.86737	10725.21215
22156.03755	20094.52705	41639.48191	15315.93702
29935.52145	24606.69503	44012.87087	18039.05813
24789.22371	32833.90071	35190.16011	13831.53714
28825.45652	25347.47413	30818.28947	12847.57123
28037.01821	16838.82216	33956.74044	19251.41732
20038.01375	19066.34411	33994.53049	14634.01869
19474.48454	13083.42703	27628.32492	15372.79655
28216.29607	18828.22311	26255.22184	14832.50418
25916.02578	23753.17786	44605.6951	13136.57074
23590.19157	17272.73995	33297.83835	10867.50542
22497.16762	30582.5931	33788.12785	11114.35491
28402.86543	22942.32278	35338.68692	10579.12065
25190.19654	23919.04435	44392.13181	13468.15021
24043.28457	21770.89917	29957.67583	11791.36995
22728.1114	32411.77894	29855.22534	7834.532509
29434.79263	22353.99322	42656.08663	8317.69805
25794.64485	22004.37431	37338.41611	12075.93072
23473.37231	23899.78159	32797.65848	10393.71954
30907.83014	21036.13846	29727.07217	9341.679128
39849.17925	26984.10959	29532.43315	9860.666293
33570.31187	23025.97291	26885.23797	9972.382496
29233.08316	28939.65096	46172.98173	15935.72338
18701.75326	16282.536	38699.78247	14029.9602
27926.32252	24871.83563	39317.93663	15805.33907
21771.13335	23607.07602	39753.50095	18978.99421
23219.86963	20378.76802	33387.53527	14623.39802
21403.23522	24930.10381	37466.53109	16939.84138
29731.16825	21722.6488	34956.34011	15621.55592
27084.45962	20860.27662	33118.88145	15180.19099
25058.75338	21256.18989	30283.63667	16959.03648
30081.92364	22700.70309	39666.28771	15104.78723
24008.67794	29728.07284	32832.07692	23387.39082
22851.90301	19707.39587	31079.69639	18212.40423
22986.39855	19306.76037	26563.77025	23947.92649
22157.55879	19728.23851	28443.68175	21297.65059
18510.01927	24621.04693	37536.45365	12077.87529
21644.42235	29659.31968	35652.03602	11466.62225
22715.42715	26770.97181	32219.28847	13071.02178
25687.42801	21037.90505	35922.81668	19313.37967
18049.94072	23649.12174	45922.17922	17417.56979
18935.83062	21289.01953	42527.72458	15474.86911
19002.15666	20131.3075	32006.03649	16174.4808
18871.57645	26088.49783	38965.5814	13934.85008
18080.11452	20393.44222	42827.08262	9767.707752
18421.1102	19157.86567	44375.66059	14724.90017
16479.4724	18549.09091	41692.59941	12210.71694
24385.43004	23990.75161	31493.91803	14178.17325
16864.91036	20717.88783	42370.33056	12860.3127
17307.65806	25314.78681	53731.40973	13046.66495
16470.86628	26995.43118	42118.45393	15386.23298
23534.96115	25973.19851	43367.20989	18835.89744
22976.69824	23610.8511	32023.22842	11867.52048
21145.953	19664.66552	37649.34108	10959.65305
17978.36945	24901.51057	38212.2796	12945.6503
22825.9481	19727.49233	39344.79754	21446.82927
21624.16764	18126.24858	42103.94858	13342.99796
22451.00372	14594.01013	36871.9505	13039.23535
19811.58739	24407.47664	27082.75162	14269.32725
18771.39031	26523.43159	46758.04099	16963.20204
23927.21904	19297.61802	34639.6875	9983.543609
21818.35167	27302.25764	40013.24841	13808.54323
19727.50619	24345.81806	38196.31543	12198.82353
16180.4384	46163.30275	35187.36383	5972.431031
16918.27324	37415.26587	30656.11785	6338.583351
14115.21959	25956.73365	34645.59271	5455.892138
22978.80293	33281.56588	30017.22062	5964.508524
19230.40541	37673.06502	29733.58209	8236.040244
18403.34908	35110.86235	36737.12674	5933.154851
24681.90501	30295.14157	35876.51231	7057.947686
13168.69457	37564.50887	44461.14684	5402.396234
19413.60677	32470.00718	33095.1458	8668.822554
21456.47655	28670.17952	39006.55785	6903.29431
20117.79784	27743.32588	33313.75647	6903.830246
15836.55502	31961.62181	37952.92991	9214.973262
16734.74443	32143.71585	36629.78652	8159.856058
20658.39126	30550.10661	39878.97225	6269.637097
24128.14849	32760.90994	30971.64673	5422.333693
16125.97491	34028.56753	37675.92861	5989.84326
21338.54749	14930.29174	39883.3638	7452.189865
24967.98092	23847.52066	28387.63716	11060.71496
22178.15097	47605.11492	28132.87467	8445.615934
19914.88737	32537.77286	31848.10396	13685.1028
18440.72088	26434.50469	36548.41183	10780.60126
18860.90555	24448.09639	35680.14085	8311.641113
17360.53248	34832.73752	40744.72103	7849.699248
23082.47078	34869.76666	28445.54849	5917.557389
22977.39251	28453.81043	40540.53797	6168.999051
24581.31286	28453.55649	40775.69197	7442.198868
20537.34865	28828.12148	36817.37149	6340.021542
23664.31054	24444.50161	41314.91028	11156.08076
23118.71008	32715.93897	40138.88076	7934.930972
20544.31303	39890.16458	46133.60343	7451.153098
20277.306	40249.78985	38381.62333	6160.225725
22450.48257	40064.45657	30018.31713	7717.478814
21841.8776	34293.11091	37146.56459	11773.29823
20858.93822	30988.4507	30812.16362	5641.033579
24562.44813	31557.83265	26651.44131	5189.234043
20163.92302	34565.83638	33468.25758	13146.54617
29560.47101	29235.39658	29793.30342	6199.54624
18504.83836	27770.30003	29340.45256	16591.0731
16097.03046	29591.03515	46692.50892	6373.69183
12282.13948	30675.33295	24306.06267	15822.45302
30202.08648	20388.01506	36903.10225	10064.29071
25501.74962	18019.19595	32208.51439	9058.292079
28410.90434	13965.37524	33523.82865	11137.51278
22667.38334	22753.16214	33817.12786	6242.448726
21681.6518	22472.99492	36029.38776	9622.425812
37193.26473	21532.11833	35263.43414	9911.819927
22906.83618	25710.04947	32524.22897	5762.026515
17502.68657	22277.32905	27083.17744	5024.235496
18942.31528	16150.86377	26654.91991	6109.036019
22551.35437	26451.23683	26146.85535	6352.454924
25131.03567	26522.606	30412.02239	9880.674322
21893.01521	23705.95147	36967.37313	5733.494442
17513.7326	24890.85366	39372.77622	7132.861538
22772.39915	27877.11335	35531.37143	15884.33269
