mouse6c	mouse6d	mouse1k
182.9457	161.145	142.8571
181.5788	179.8472	132.7173
182.1652	147.7254	144.0695
176.6735	169.025	163.5856
173.2613	188.2923	150.1073
170.3015	189.9803	151.8774
181.3619	137.2569	172.4882
175.5236	142.1421	160.4572
166.9289	184.7477	155.4094
177.4991	166.8666	163.747
178.7938	171.2245	168.1388
178.7343	150.9988	133.7572
175.6803	169.8439	164.3112
177.8235	176.4679	142.7022
183.6845	196.5256	169.0544
165.2823	168.1027	147.9812
183.2965	186.6727	162.8094
151.4777	156.6156	136.2235
182.5433	184.0767	139.9924
165.2735	154.73	149.9359
184.6077	176.9138	154.4398
178.6413	169.8573	160.0144
168.3952	129.1615	136.8076
171.668	143.8203	106.7754
164.7733	169.4673	143.152
173.0425	189.621	136.297
165.6403	161.9913	128.7343
172.4943	175.9455	158.5379
171.434	174.9171	133.7825
161.1793	176.6323	167.5311
165.2321	192.218	145.9617
128.5575	154.3509	134.7351
183.6985	180.2543	123.4068
173.9766	147.246	169.4074
181.0035	177.4985	144.1745
178.5269	151.7518	149.0637
177.2818	134.5909	136.6532
156.5469	131.9131	162.6398
170.7011	189.9541	162.0372
174.7969	175.1331	151.1207
186.0151	161.7264	156.758
173.7557	163.2055	150.4284
152.2867	100.4709	159.5033
177.4362	151.4549	153.8489
177.0852	124.1591	111.2676
171.1759	182.1737	169.8217
182.5059	175.1298	164.7652
162.2828	155.7915	139.2582
174.3892	145.151	144.8681
167.1571	166.9442	131.0807
174.2663	157.0564	118.8803
163.112	159.5099	144.8551
179.7006	163.7462	129.0206
127.7141	151.2342	155.5957
173.3952	168.247	153.6802
178.1649	149.1528	138.5931
171.878	152.6873	161.4781
176.5342	144.8141	169.0348
142.8437	149.9037	164.655
171.1527	150.4257	161.1203
182.6317	153.6479	166.3948
182.6607	143.8967	160.8945
184.501	148.3182	146.5566
156.2958	172.4974	157.7855
173.7172	179.8311	97.8478
181.5064	163.4634	166.9834
180.4472	164.9645	134.3562
184.3058	150.4069	151.7297
148.8324	162.3521	156.2521
164.5696	153.8022	129.7002
179.9962	168.731	154.3969
158.7884	165.1561	137.8925
118.6158	159.1359	136.7401
175.3552	165.332	145.7641
159.3424	148.4472	154.5435
154.136	174.2066	152.5803
155.5283	151.2928	150.7028
156.544	150.6971	146.0395
172.7276	173.9373	150.0945
145.8227	180.7188	141.6691
166.8078	169.9184	121.1892
161.0341	179.3085	166.6852
184.1293	177.982	159.6614
167.0357	181.5539	143.1089
166.2285	183.9271	113.6376
169.6649	170.0914	143.4694
170.535	175.2085	124.9042
162.3482	175.2256	170.3116
186.4847	158.6779	159.9218
182.2773	175.0663	163.2119
170.5375	161.8853	149.2134
188.355	183.3254	139.2138
172.2842	188.9327	145.5717
148.8141	172.0752	143.4691
159.3559	169.2509	117.7783
175.9726	157.8937	140.094
173.8451	102.34	146.5176
124.0004	111.683	135.1684
172.8038	174.1982	119.1333
163.1038	167.7138	156.1499
161.2747	181.1101	170.468
178.5112	163.3892	116.5726
150.3528	150.8031	148.3918
176.7589	165.689	149.2468
180.1491	165.5721	146.1196
173.6853	166.3218	158.0541
184.0042	179.8881	113.8669
186.6278	142.4346	150.3172
174.5321	154.3589	154.696
147.7837	157.3053	119.8119
166.2349	140.9151	109.6558
168.5613	162.5413	155.9404
155.4731	149.3045	161.5757
160.9709	152.0696	149.9863
171.8163	142.9978	137.6265
168.1891	159.2796	135.6584
164.651	181.1725	150.7484
180.2697	184.7109	149.9973
176.4587	134.9459	147.2268
153.8938	150.495	140.0541
131.6176	161.1287	137.9936
175.5891	162.7652	170.6144
200.9375	156.0355	136.999
191.4309	177.5528	158.3913
176.2179	161.8255	147.2955
147.7422	170.8373	134.5671
186.3983	168.7506	137.7967
184.2831	171.3997	138.3596
188.3599	174.2536	154.6848
182.5806	186.6794	168.2609
172.9621	183.4439	132.3339
184.9495	123.553	155.9491
190.5084	133.4461	139.8399
186.3037	167.2529	149.9268
196.3727	165.7883	160.8193
184.5386	180.7919	120.3085
182.9775	155.6362	113.7518
180.2925	153.7794	118.7917
187.0328	190.9987	159.1524
178.5539	175.9349	156.9025
177.0876	171.0657	140.5917
174.4217	174.638	144.7057
174.5638	169.5878	159.9316
177.5765	178.881	131.9114
185.0367	175.1126	154.9698
169.2614	171.8218	133.1417
181.208	180.924	158.6024
187.4937	178.7773	155.7475
175.105	179.1531	165.8503
185.4452	165.9987	166.1216
182.8881	172.755	126.977
172.841	158.4591	136.4044
181.6562	131.3339	156.8303
172.2162	169.1937	155.9369
172.3847	178.2476	148.141
187.6153	163.36	129.7851
183.1313	169.6861	139.6438
187.1786	182.273	124.364
172.5421	173.404	159.8827
176.4727	177.275	135.8677
176.3181	171.4699	149.3695
178.5762	177.9814	162.3459
177.7036	178.2148	153.2667
169.3286	178.2751	138.7356
189.1754	172.8924	142.2656
190.573	163.8589	133.3375
184.7741	159.843	153.898
178.8878	176.9503	159.1592
180.4309	157.7685	163.4098
184.5422	169.3009	125.7955
173.6409	160.496	153.8185
183.6383	175.0613	161.7636
164.4071	154.2906	139.5849
165.3937	165.3816	141.1092
176.277	169.2207	132.9497
158.4208	173.0734	146.2712
194.393	169.0098	125.3223
171.1628	173.1509	144.7076
136.7528	188.2029	163.6968
175.107	175.702	170.8316
194.9	180.0926	124.8198
163.9816	164.574	173.7101
189.2904	173.9972	164.7221
193.8304	168.709	138.4503
176.9983	174.7416	159.6479
180.6898	172.5316	127.1686
182.9132	177.0063	151.0576
181.7166	163.4164	136.4601
188.0949	172.7386	135.7836
143.9791	181.0822	163.7799
180.5898	171.8881	170.1049
187.7518	175.8727	143.1645
163.6902	181.8516	167.817
188.5972	166.7225	152.7624
166.0986	174.2534	144.547
187.3923	161.0796	155.7224
188.9861	182.223	142.2824
175.5958	164.7711	166.9128
175.8102	173.6895	153.8898
170.3834	165.6968	123.2623
183.1565	186.47	151.4685
174.9206	193.0319	154.2296
180.2659	163.1395	163.141
185.7377	163.5184	163.5404
173.5546	180.3362	167.1684
181.4002	164.8444	161.5699
167.5413	185.2019	103.1488
186.4281	182.8863	168.338
155.6666	171.4188	131.1558
181.7833	168.7467	153.3176
173.7648	179.7608	154.5536
191.5451	188.6828	179.8578
179.8094	165.3214	135.0676
185.5765	125.71	128.0294
180.0118	167.4068	166.4372
169.1279	168.3498	142.2607
161.2886	160.5072	160.4963
174.9991	162.5582	138.5147
186.7541	182.3748	154.1987
158.4962	151.8943	138.4526
173.3572	176.004	158.8875
192.8424	171.5665	143.5582
177.4992	161.8146	146.7589
180.1583	184.3346	139.2901
187.0886	161.8975	133.7238
187.5791	163.1193	117.8737
168.8559	152.806	162.8678
177.6763	176.3638	168.0862
178.2245	168.2977	161.2189
171.3863	170.3642	126.1105
169.3825	168.3023	149.6657
187.6196	185.7077	166.2867
175.0465	167.9255	124.2846
185.21	179.2682	147.8331
171.0385	162.9844	166.2503
171.564	174.4196	151.2936
179.8466	168.2913	153.2354
183.5899	177.7027	155.5377
181.114	122.3074	149.0577
168.078	146.7288	149.5195
185.5532	167.206	129.0524
170.3024	162.7458	160.3618
179.7701	177.6136	163.8072
185.066	185.6107	140.8184
188.9916	179.0051	147.2067
180.3539	188.8755	155.3026
167.3004	176.7518	160.8756
176.5293	174.0052	153.863
174.8135	177.3516	148.3617
161.7506	121.3212	136.3574
166.1444	166.9097	140.3436
176.2695	186.8048	133.8854
168.1358	185.59	166.4061
169.8966	161.9709	142.0364
175.9415	158.7517	153.4517
175.3818	160.1465	129.3972
180.4091	149.431	168.7156
163.8351	163.5424	127.0562
167.7817	172.9865	149.5481
175.5963	181.2119	139.0411
183.272	172.8768	142.827
164.2601	167.0312	135.3445
162.6607	175.4239	156.0977
177.0728	188.9095	115.574
181.7289	165.9085	154.6124
166.5122	173.8111	157.0444
174.4325	165.9744	129.5496
171.9287	177.3354	151.8629
191.0939	174.0638	149.8565
166.9389	185.9394	147.3619
173.7825	183.2361	143.5581
179.8455	175.9473	157.842
160.4476	175.0627	135.5332
