eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
1.5813	0.1915	1.0635	3.7095	11.5827	1.6529	0.4412	5.1186	514.2597639	2264.91018	2323.437255	1782.26087	17.4335	4.6867	17.4272	1.8737
0.9751	0.7526	1.4282	6.5068	9.9889	2.1727	2.2337	2.6557	755.6314659	1762.884044	1715.434084	2211.180124	14.027	0.5161	22.6248	2.1282
0.1855	0.3072	1.9875	4.6026	37.0893	4.2654	2.3837	3.4015	1087.560451	1435.493741	2200.958466	1962.377995	8.5258	6.4926	18.2577	10.6937
0.949	1.2625	2.3279	7.4483	9.3938	3.3566	3.4571	3.6039	1247.797867	1304.080297	1935.76524	3086.586771	8.9235	1.2638	19.5168	2.9285
1.3802	0.789	2.262	13.3227	10.0135	0.6118	0.6161	6.6626	824.9351323	1650.661925	1486.240864	2972.766675	13.9175	2.5512	19.7552	2.9462
0.1049	0.05764	1.1062	8.8737	11.6891	1.6308	3.3082	2.8194	1241.876819	2143.453786	2068.218899	1457.452155	22.1978	4.5486	19.8009	10.3352
3.2894	1.08	1.9833	12.0166	27.3797	3.3097	9.6173	3.9995	496.5361211	1815.522107	1525.021325	1500.995608	12.4265	8.1289	19.1996	3.5136
1.2406	0.2363	2.9528	9.1634	5.9587	2.5498	0.6	3.7821	984.360301	2997.149739	1980.503145	2472.778828	11.4067	1.3003	20.9172	3.8572
0.09286	0.1245	3.2846	9.0372	23.4853	3.6843	2.4075	2.4914	674.3623863	2587.967369	2013.767671	1829.340761	13.1028	6.3486	19.2016	5.3782
0.8708	0.8101	1.6682	7.7238	10.4033	3.2093	11.079	3.1191	482.6962692	1790.963711	3365.662497	3998.108643	26.2507	2.3817	19.0684	3.1765
