mouse6c	mouse6d	mouse1k
105.806	51.8394	112.8569
110.7633	74.1429	118.8865
108.3851	85.783	123.0744
131.0819	77.0904	109.1352
115.7407	52.3737	116.0309
118.4863	128.1445	126.9424
111.9714	72.7338	112.7882
75.0699	87.7473	105.555
125.7802	67.8223	25.6918
117.1322	68.578	106.8832
121.5416	63.9711	20.198
127.5877	44.1379	111.4901
113.4618	82.5105	91.8798
138.9487	52.3413	110.2499
101.5089	107.5777	98.7188
89.5514	62.8019	132.6231
117.2712	75.4879	112.7365
105.036	83.5741	107.2406
119.8427	62.6563	116.5527
90.0143	66.7141	159.1162
123.4205	93.6298	111.8012
115.1822	87.1607	135.8709
95.1967	27.905	88.3407
60.7869	70.2903	131.8956
103.7554	109.9232	115.3028
138.9762	33.7614	65.2932
138.8947	148.6324	118.3674
116.5365	136.5983	120.2103
105.4212	141.1633	100.8044
117.4262	152.8921	91.1018
135.1845	141.1034	125.3229
103.8241	119.5471	110.5884
89.2136	147.0191	119.174
91.2704	116.4961	124.387
146.1198	127.2429	29.9737
90.9695	121.7359	89.0729
98.3751	113.9202	124.4646
116.6104	118.9479	118.9216
95.1095	121.5866	113.6541
117.8498	136.0208	58.8141
121.9139	117.2484	85.518
99.6535	153.2773	107.1085
133.1448	136.0152	116.8308
193.8696	148.7753	97.0302
112.5269	139.6229	85.9293
150.9251	148.4376	123.6444
90.7842	134.7442	95.3062
128.6169	130.5729	114.0621
151.7644	140.4516	106.2099
92.3347	125.5317	114.113
93.2426	113.8261	88.0687
113.5312	118.5052	97.6244
162.5096	108.0948	113.8955
132.6683	124.686	132.3603
125.0754	128.3912	102.7521
106.9998	116.1812	95.5959
88.3055	128.5616	124.3441
98.5359	129.7452	79.3945
118.7147	101.9581	106.363
97.1741	156.224	109.283
141.6716	131.0693	101.9033
131.3753	117.8922	113.9419
106.6001	133.3108	120.151
117.3953	129.3376	102.935
99.467	143.3742	125.231
127.4552	124.98	98.3607
120.7395	132.2152	79.5415
96.5001	132.6673	115.1872
115.7475	138.1357	116.4432
107.0734	150.8388	124.7362
101.0058	143.2155	117.8346
108.5298	127.619	122.9826
110.1902	145.6978	116.1204
101.3478	138.5395	102.5119
108.4962	148.7293	121.3971
106.962	121.5518	121.383
88.7076	145.591	124.7029
160.9413	142.6864	109.6245
126.4188	98.8046	121.6465
110.0451	135.7849	127.7016
110.2985	132.4298	107.8628
127.7861	136.5326	97.2264
92.4933	121.0819	129.1345
127.9156	138.9277	106.9266
